"","covar_type","bw","aic","coef","opt_bw"
"1","developed","150",7312.78925258219,-11.481392925397,150
"2","developed","135",7314.30361878995,-10.6950414673254,150
"3","developed","165",7316.54559550198,-12.1465513784815,150
"4","developed","120",7320.69440033116,-9.82505726468468,150
"5","developed","180",7325.39590737216,-12.6528420944611,150
"6","forest","135",3448.5541850856,-13.0893230068557,135
"7","forest","120",3449.38835399034,-12.3176837832908,135
"8","forest","150",3455.35457829268,-13.8844788838244,135
"9","forest","105",3461.27438349509,-11.5600793906744,135
"10","forest","165",3468.20252231615,-14.7054749608934,135
"11","open_water","135",3133.632782843,13.2197697818577,135
"12","open_water","120",3137.86689161308,12.6327906514324,135
"13","open_water","150",3143.01270893105,13.791917379521,135
"14","open_water","105",3160.66166440697,12.0192975119642,135
"15","open_water","165",3162.38756580005,14.3571501434748,135
"16","pasture","360",6858.91183454596,-49.4224423720613,360
"17","pasture","345",6860.62919146674,-47.3426164850194,360
"18","pasture","375",6861.62255503881,-51.4080450071302,360
"19","pasture","330",6866.81059835137,-45.1898945624421,360
"20","pasture","390",6868.68150094664,-53.2719369016737,360
"21","shrub_herb","45",5335.76716869448,-41.8576138015846,45
"22","shrub_herb","60",5370.75727077369,-43.020566293457,45
"23","shrub_herb","30",5397.66797575414,-38.98292385214,45
"24","shrub_herb","75",5465.61310961511,-42.8877764715133,45
"25","shrub_herb","15",5468.84404355876,-37.0659334370042,45
"26","wetland","15",7140.32423845603,2.27031982097771,15
"27","wetland","30",7290.24666777944,2.21978950197644,15
"28","wetland","45",7406.15260188579,1.82452399876564,15
"29","wetland","210",7468.47880331242,-3.1743440778488,15
"30","wetland","195",7469.38469689697,-2.9651453311075,15
