serial,GPS_date_YYYY-MM-DD,GPS_utc_HH:MM:SS,GPS_YYYY-MM-DD_HH:MM:SS,lat,lon,hdop,fix,cog,speed,alt,data_voltage,solar_charge,solar_current,nsats,vdop,geo,activity,inactivity,temperature,time_to_fix
A1000042F1B571,2018-01-07,11:01:41,2018-01-07 11:01:41,45.447601,-67.132446,2.0,3,0,0.0,203.8,3.66,0.11,4.6,5,1.7,,,,,
A1000042F1B571,2018-01-06,22:10:40,2018-01-06 22:10:40,45.447773,-67.132065,1.6,3,0,0.0,180.5,3.67,0.1,4.62,4,2.2,,,,,
A1000042F1B571,2018-01-06,11:01:11,2018-01-06 11:01:11,45.447697,-67.13195,1.1,3,0,0.0,134.5,3.66,0.09,4.6,4,1.3,,,,,
A1000042F1B571,2018-01-05,22:09:23,2018-01-05 22:09:23,45.447712,-67.131958,1.7,3,0,0.0,132.5,3.67,0.09,4.58,6,3.1,,,,,
A1000042F1B571,2018-01-05,11:01:41,2018-01-05 11:01:41,45.446072,-67.130188,1.0,3,0,0.0,143.4,3.66,0.09,4.59,7,1.4,,,,,
A1000042F1B571,2018-01-04,22:08:40,2018-01-04 22:08:40,45.448891,-67.132034,1.2,3,0,0.0,153.2,3.67,0.09,4.58,8,1.8,,,,,
A1000042F1B571,2018-01-04,11:01:58,2018-01-04 11:01:58,45.450459,-67.121948,1.2,3,0,0.0,164.8,3.66,0.1,4.62,6,1.3,,,,,
A1000042F1B571,2018-01-03,22:09:56,2018-01-03 22:09:56,45.450405,-67.121971,1.1,3,0,0.0,163.4,3.67,0.1,4.6,9,1.1,,,,,
A1000042F1B571,2018-01-03,18:12:55,2018-01-03 18:12:55,45.391163,-67.226662,0.8,3,33,29.5,320.8,3.65,6.19,20.38,9,1.1,,,,,
A1000042F1B571,2018-01-03,11:03:32,2018-01-03 11:03:32,45.244431,-67.639053,1.5,3,0,0.0,116.4,3.58,0.1,4.62,5,2.3,,,,,
A1000042F1B571,2018-01-02,22:08:28,2018-01-02 22:08:28,45.244331,-67.639008,0.9,3,0,0.0,110.1,3.59,0.09,4.6,9,1.4,,,,,
A1000042F1B571,2018-01-02,11:01:11,2018-01-02 11:01:11,45.420238,-67.768791,1.5,3,0,0.0,188.7,3.56,0.1,4.6,6,2.1,,,,,
A1000042F1B571,2018-01-01,22:06:02,2018-01-01 22:06:02,45.420467,-67.768875,1.0,3,0,0.0,216.7,3.57,0.1,4.62,9,1.5,,,,,
A1000042F1B571,2018-01-01,11:00:11,2018-01-01 11:00:11,45.447395,-67.131874,1.0,3,0,0.0,142.4,3.62,0.11,4.62,9,1.4,,,,,
A1000042F1B571,2017-12-31,22:04:10,2017-12-31 22:04:10,45.428085,-67.118256,1.7,3,0,0.0,147.0,3.63,0.1,4.62,6,2.6,,,,,
A1000042F1B571,2017-12-31,11:03:11,2017-12-31 11:03:11,45.447754,-67.131981,1.2,3,0,0.0,142.6,3.62,0.11,4.6,8,1.6,,,,,
A1000042F1B571,2017-12-30,22:06:11,2017-12-30 22:06:11,45.447624,-67.123535,1.2,3,0,0.0,142.5,3.63,0.1,4.6,5,2.3,,,,,
A1000042F1B571,2017-12-30,11:03:33,2017-12-30 11:03:33,45.415535,-67.75856,0.8,3,0,0.0,186.5,3.57,0.1,4.62,10,1.0,,,,,
A1000042F1B571,2017-12-29,22:05:41,2017-12-29 22:05:41,45.415543,-67.758537,0.9,3,0,0.0,188.4,3.58,0.1,4.6,9,1.7,,,,,
A1000042F1B571,2017-12-29,11:02:54,2017-12-29 11:02:54,45.412548,-67.788208,0.9,3,0,0.0,235.3,3.56,0.11,4.62,8,1.3,,,,,
A1000042F1B571,2017-12-28,22:04:01,2017-12-28 22:04:01,45.412575,-67.788155,1.1,3,0,0.0,215.7,3.57,0.1,4.6,8,1.7,,,,,
A1000042F1B571,2017-12-28,17:24:41,2017-12-28 17:24:41,45.425205,-67.770668,3.0,3,0,0.0,178.9,3.57,4.69,0.0,5,3.2,,,,,
A1000042F1B571,2017-12-28,17:09:27,2017-12-28 17:09:27,45.424992,-67.77034,2.0,3,355,0.0,187.6,3.57,4.07,0.0,6,1.7,,,,,
A1000042F1B571,2017-12-28,16:54:11,2017-12-28 16:54:11,45.42511,-67.770393,1.8,3,0,0.0,210.0,3.58,4.2,0.0,6,1.9,,,,,
A1000042F1B571,2017-12-28,16:38:53,2017-12-28 16:38:53,45.42532,-67.770683,1.7,3,0,0.0,169.6,3.58,4.11,0.0,6,2.3,,,,,
A1000042F1B571,2017-12-28,16:23:38,2017-12-28 16:23:38,45.425323,-67.770645,2.1,3,0,0.0,187.3,3.59,3.66,0.0,6,8.3,,,,,
A1000042F1B571,2017-12-28,16:08:21,2017-12-28 16:08:21,45.425385,-67.770645,1.5,3,0,0.0,197.8,3.59,3.72,0.0,6,1.8,,,,,
A1000042F1B571,2017-12-28,15:53:07,2017-12-28 15:53:07,45.425323,-67.77076,1.5,3,0,0.0,145.2,3.6,4.28,0.0,7,2.0,,,,,
A1000042F1B571,2017-12-28,15:37:54,2017-12-28 15:37:54,45.425301,-67.770691,1.4,3,0,0.0,184.4,3.6,1.8,0.0,7,2.0,,,,,
A1000042F1B571,2017-12-28,15:22:39,2017-12-28 15:22:39,45.425285,-67.770638,1.4,3,0,0.0,178.8,3.6,3.34,0.0,7,2.0,,,,,
A1000042F1B571,2017-12-28,15:07:24,2017-12-28 15:07:24,45.425362,-67.770622,1.1,3,177,0.0,166.9,3.61,2.13,0.0,8,1.3,,,,,
A1000042F1B571,2017-12-28,14:52:09,2017-12-28 14:52:09,45.42543,-67.770737,1.1,3,357,0.0,178.7,3.62,3.91,0.0,9,1.1,,,,,
A1000042F1B571,2017-12-28,14:36:23,2017-12-28 14:36:23,45.425335,-67.770645,3.9,3,0,0.0,197.0,3.62,4.82,0.0,5,4.0,,,,,
A1000042F1B571,2017-12-28,14:21:05,2017-12-28 14:21:05,45.425369,-67.77066,2.9,3,0,0.0,173.8,3.62,4.05,0.0,6,3.3,,,,,
A1000042F1B571,2017-12-28,14:05:52,2017-12-28 14:05:52,45.425552,-67.770683,2.3,3,0,0.0,162.1,3.63,3.87,0.0,6,3.0,,,,,
A1000042F1B571,2017-12-28,13:50:37,2017-12-28 13:50:37,45.424633,-67.770523,2.0,3,0,0.0,167.1,3.63,4.69,0.0,6,3.2,,,,,
A1000042F1B571,2017-12-28,13:35:24,2017-12-28 13:35:24,45.424744,-67.770462,1.9,3,0,0.0,144.5,3.63,4.75,0.0,6,3.7,,,,,
A1000042F1B571,2017-12-28,13:20:11,2017-12-28 13:20:11,45.424606,-67.770622,1.2,3,0,0.0,209.1,3.64,4.47,0.0,6,1.9,,,,,
A1000042F1B571,2017-12-28,13:04:29,2017-12-28 13:04:29,45.424622,-67.7705,3.1,3,0,0.9,194.4,3.64,4.19,0.0,4,3.1,,,,,
A1000042F1B571,2017-12-28,12:49:10,2017-12-28 12:49:10,45.424934,-67.77063,4.0,3,0,0.0,225.5,3.65,2.27,0.0,4,3.3,,,,,
A1000042F1B571,2017-12-28,12:33:41,2017-12-28 12:33:41,45.425072,-67.770607,1.9,3,0,0.0,179.3,3.65,3.55,0.0,5,2.1,,,,,
