PK_NestSite,UTM_Long,UTM_Lat
001A,433553,4930140
002A,412281,4906670
002B,412169,4906650
002C,412259,4906640
002D,412167,4906610
002E,412212,4906650
002F,412260,4906670
002G,412223,4906630
003A,422475,4898700
003B,423476.4315,4899327.798
003C,425194,4898910
004A,437344,4903150
004B,436657,4902860
004C,436616,4902570
005B,439421,4890980
005C,439359,4890880
005D,439363,4890910
006A,442656,4892090
006B,439961.622,4891874.983
007A,436986,4880270
007B,436453,4879710
007C,437126,4880170
007D,436251,4879430
008A,435939,4877640
008B,436418.8387,4877490
008C,437867,4876010
008D,436245.0663,4877249.505
008E,436521.7549,4877815.929
008F,436466.7646,4878004.316
008G,435523,4876990
008H,434772,4876260
008I,435132,4876180
008J,436398.7239,4877455.382
008K,436527.2502,4877830.941
009A,435300,4874830
009B,433972.2596,4872804.239
009C,435209,4874650
009D,436420,4874320
009E,433857.4709,4872719.079
009F,433407.975,4873081.654
009G,433841.8084,4872680.875
010A,431340,4871070
010B,431326,4871020
010E,431311,4870970
011A,433322.0937,4866804.141
011D,433355,4866870
011E,434042,4867290
011F,434089.2969,4867423.327
011G,434031,4867560
011H,433819,4867610
011I,434039,4867420
012A,437276,4867320
012B,438546,4866650
013C,439217,4860990
013D,437853,4860460
013E,439135.8512,4861060.583
013F,439327.5051,4859026.335
013G,441020.8872,4859284.625
014A,457419,4878920
014B,457133.8645,4878832.02
014C,457350,4878860
014D,457466.1568,4878947.829
014E,457451.6,4878902.863
015A,511626.3519,4880321.447
016A,501482.8766,4891045.138
016B,501291,4891010
016C,501481,4891140
016D,501440.8316,4891072.155
016E,501348.338,4891009.338
016F,501361.273,4891003.546
016G,501534.7209,4891356.615
017A,514740.4791,4892730.151
017B,514737,4892800
017C,516539,4891970
017D,516314,4892050
017E,516334.268,4892022.346
017F,516454.5395,4891970.265
020A,520456,4918850
020B,521195,4919550
020C,520270,4918970
020D,521212.1542,4919495.851
020E,520460,4918770
021B,525042.4011,4915124.991
021C,525356,4914840
021D,525340,4914850
021E,NA,NA
022A,533612.2217,4910704.171
023C,551229.2212,4886878.417
023G,551241.9622,4886921.22
023H,NA,NA
024A,550296.1801,4892232.133
024C,550093.3223,4892239.649
024D,550272.0611,4892253.574
025A,551647.367,4901262.13
025B,552239.8744,4900845.804
025C,552056,4902480
026A,553890.489,4911675.174
026B,550497.4814,4912799.2
026C,551555,4912160
026D,551701.4736,4913488.702
026E,554009.5519,4911604.02
026F,553946.8027,4911617.156
027A,544129.7186,4910658.933
028A,553073.0301,4919211.468
028B,555376.5404,4918916.111
028C,555287.2172,4918768.283
028D,552866,4920090
029A,544125.4784,4931192.458
029B,544493,4931400
029C,543593,4930550
029D,543720.772,4930640.264
029E,544011,4928990
029F,544331,4931328.295
029G,544586.2612,4930789.203
029H,544299,4930699
030A,549531,4947520
030B,549463,4947630
030C,549526.0388,4947276.078
031E,557853,4929520
031F,557860,4929630
031G,NA,NA
032A,555012,4929720
032B,555042,4929690
032C,556509,4928120
032D,556372,4927460
032E,555181.6682,4930809.282
032F,555098.8405,4930812.88
033B,557570,4934480
033E,556538.1806,4933793.649
033G,556902.9574,4933651.836
033I,557915.6043,4934358.073
034A,560467,4935680
034B,560756,4936460
034C,560119.6991,4936579.464
034D,560664,4936830
034E,560464.9927,4936147.316
035A,563182,4926930
035B,559971,4928360
035C,563243,4925070
035D,563288,4925100
036A,563250,4931130
036B,564919.9746,4931102.66
036C,563430,4931280
036D,563749.9351,4929127.287
036E,561912,4930120
036F,562067,4930130
037A,566141.5556,4923806.846
037B,565668,4924110
037C,567176,4923880
037D,567142,4923860
037E,567031.7153,4925433.321
037F,567084.0737,4925386.348
037G,566404,4925570
037H,565483,4923960
037I,567118,4923830
037J,567046,4923840
038A,570699,4924590
038B,570615,4924600
038C,570587,4924740
038D,570268.2952,4924772.793
038E,570659,4924680
039A,568521,4921600
039B,568644,4921740
040A,565504,4917020
040B,566602,4917070
040C,566658.5182,4917156.815
040D,566423,4916790
040E,566884.6169,4917358.295
040F,566266.723,4917071.126
041A,565214,4915210
041B,565372,4915350
041C,564226.2881,4916617.07
041D,564275.7676,4916588.558
042A,569584.4848,4915933.73
042B,568707,4915350
042C,568697.2737,4914838.871
042D,569053.9409,4914822.845
043A,577158.4639,4908666.16
043B,577219,4908740
043C,577212.1546,4908956.603
043D,577201,4908770
043E,577220.1546,4908829.392
043F,577190.7533,4908744.296
043G,577115.3416,4908704.725
043H,577160,4908940
043I,577164.763,4908889.729
043J,NA,NA
044A,584155.4676,4922341.007
044B,584100.5479,4922819.145
044C,583978,4924220.578
045A,583657.4507,4927973.291
045B,581852.0899,4927008.658
046A,591513,4922680
046B,591520,4922790
046C,591502.7368,4922552.37
046D,591204.6193,4922500.256
046E,591513.106,4922466.05
046F,591464.5459,4922634.048
047A,595287.132,4925142.582
047B,596905,4925490
047C,595341.8974,4925183.336
047D,595298.8512,4925121.597
048A,594911,4929300
048B,595007.1675,4930085.361
048D,593033.7428,4929961.486
048E,595028,4929870
048F,595106.4309,4929668.619
048G,595059.9365,4929951.413
048H,NA,NA
049A,598300,4932360
049B,598266,4931610
049C,598015,4932080
049D,599209,4932500
049E,597960.2758,4932073.975
049F,598082,4932110
049G,597953.1411,4932039.028
049H,598041.7663,4932754.739
050A,574641,4963950
050B,576465.0966,4963914.853
051A,603858,4926600
051B,603883.402,4926484.608
051C,603831,4926660
051D,603928.549,4926626.451
051E,603718.0449,4926660.533
051F,602873.9097,4927230.334
052A,605816.2943,4931103.479
052C,605805.883,4931071.353
052D,605822,4931080
052E,605810.3954,4931036.715
052F,605788,4931050
052G,605804.2181,4931110.387
052H,605819.179,4931090.398
052J,605786.669,4931013.032
053A,614744,4928110
053B,614799,4928190
053C,614745,4928180
053D,615049.1787,4928833.075
053E,NA,NA
054A,616576,4932000
054B,616827.9317,4932001.504
054C,616430.07,4931964.481
055A,620479.7274,4935242.159
055B,620484,4935310
055C,620525.7759,4935316.412
055D,621291.1577,4936130.398
056A,617237.2234,4941148.282
056B,617246,4941090
056C,617270.8033,4941139.525
056D,616353.5811,4941241.21
056E,616425,4941730
056F,616466.5818,4941762.589
056G,617228.9837,4941095.842
057A,629667.8298,4947175.998
057B,629554.3969,4947061.942
057C,629489,4947020
057D,630258,4947260
057E,629552.9673,4947117.518
058A,623573.6627,4952448.275
058B,623840.8276,4952379.141
058C,623152.7389,4952433.886
058D,624647.991,4951171.598
058E,623284.5007,4952350.398
058F,623896.094,4952483.545
059A,620379,4961040
059B,620621,4960770
059C,620047.2347,4962441.451
059D,620176,4962250
060A,630018.4822,4961195.261
060B,629897.5114,4961121.065
060C,629707,4960480
060D,629709.2302,4960465.254
061A,616606.6515,4973549.143
062A,642805,4962150
062B,645609,4962370
062C,644360.0665,4962920.96
062D,642673,4962040
063A,645568,4965780
063B,645829.6565,4965883.003
063C,646108,4966220
063E,646029.8957,4966314.237
064A,646093,4970300
064B,645534,4971050
064C,646175,4970220
065A,645004,4973390
065B,645685,4972780
065C,645645.155,4972878.351
065D,645299,4973360
066A,641840,4973320
066C,641564,4973430
066E,642868.3174,4974041.437
066F,640793,4974460
066G,641679,4974700
067D,646754,4976910
067F,646000,4977270
067G,646959,4976620
067H,646697,4976950
067I,646722.878,4976759.292
068A,648614,4971550
068B,648653,4971820
068C,649018.0145,4971958.127
069A,648867,4977210
069B,648587.8194,4976673.598
069C,647907.0576,4977582.671
069D,648148.1805,4977579.378
069E,648337.6688,4978183.416
070A,653480,4969940
070B,653229,4969700
070C,653210,4969670
070D,653035,4969500
071A,647811.7556,4983719.51
071B,647171,4984360
071C,647004,4984340
071D,648056.6077,4983926.354
072A,639782.1815,4999907.859
072B,640025.4617,4999954.247
072C,640557.4652,4999230.748
072D,640643.4145,4998793.952
072E,639079,4999460
072F,639110,4999360
073A,636673.1001,4998988.7
073C,635806.3601,4999547.454
073D,636090.8138,4999790.854
073E,636066.0056,4999645.157
073F,634742.8955,5000734.989
074A,613162.9869,4994763.945
074B,613295.0102,4993771.322
074C,613586.2112,4993973.345
074D,612957.1439,4994678.123
075A,557518.8285,4987273.501
075B,556757,4986670
075C,557488.8353,4987258.663
075D,557527.5052,4987371.323
076A,566252,4988650
076B,565859.5035,4988249.05
076C,567006.2035,4987912.176
076D,567128.1827,4988744.615
077A,589137,4996820
077B,586783.6457,4996925.58
078A,583420.8404,4999636.796
078B,584069.2149,5000632.073
078C,583759,4999090
078D,584587,4999910
079A,585666,5003880
079B,585456,5004180
079C,584403,5003690
079D,584601.8323,5004849.734
080A,601952,5000230
080B,603003,5.00E+06
080C,603011,5000600
081A,581481,5014270
081B,584176,5012090
081C,582699,5013280
082A,615465,5012710
082B,615015,5013350
082C,615483,5012860
083A,610597.4693,5032834.765
083B,610771.2958,5033142.008
083C,610833.7584,5032864.724
083D,610757.2007,5033217.205
084A,590577.5957,5037003.115
084B,591047.3637,5037196.574
084C,589204,5037360
084D,590723.1388,5037803.085
085A,591772.0876,5051202.267
085B,591690.9059,5050182.944
085C,588911.4325,5051989.155
085D,589724.7299,5051146.594
085E,588946,5051860
085F,589138.5751,5051991.349
085G,589422.0572,5052089.763
086A,600397,5058860
086B,600481,5058720
086C,600651,5059200
087A,517752,5069180
087B,517108,5068720
088A,495489,5078010
088C,497034.6208,5078945.845
088D,495312,5077900
088E,496231,5077500
088F,494729.0739,5078395.742
088G,496379.656,5077531.5
088H,NA,NA
089A,503379,5067730
089B,503880.6668,5067206.808
089C,504023.9544,5067031.589
089D,503074.9641,5067910.805
089E,504521.4462,5067373.861
090A,476379.1011,5128093.756
090B,476183,5128680
090C,477835,5129540
090D,472991.2521,5128788.282
090E,473493.613,5128725.862
091A,453110.4697,5116022.791
091B,452899.6114,5115590.169
091C,452152.9275,5115342.017
091D,452903.4811,5114472.982
092A,454999,5068340
092B,453032.3688,5061096.847
092C,454999.9421,5064404.647
092D,450311.4518,5058819.268
092E,454342.0391,5064380.762
092F,455176.9028,5064073.524
092G,455114,5064660
092H,456469.6149,5066150.205
093A,525668,4939510
094A,512076,4938630
094B,511293,4939310
094C,511143,4940520
094D,513718.8204,4940119.024
095B,528965.2626,5001395.854
095C,529100.2727,5001663.278
096A,527575,5015042.726
096B,528267.9645,5015180.848
096C,528378.4608,5014486.433
097A,541958.9322,5048911.887
097D,542561.8972,5048874.444
098A,528786,5056010
098C,529540.6096,5054211.792
098D,528309.0291,5056104.18
098E,528613.989,5056043.091
099A,415188,4840290
