"nest_id","nest_id_num","status","nest_long_utm","nest_lat_utm","active_2013","active_2014","active_2015","active_2016"
"600A",6000001,"intact",359633,4771301,NA,NA,NA,NA
"488A",4880001,"historic",348175,4824581,NA,NA,NA,NA
"488B",4880002,"intact",348118,4824378,NA,NA,NA,NA
"549A",5490001,"intact",373979,4826105,NA,NA,NA,NA
"549B",5490002,"intact",375304,4823904,NA,NA,NA,NA
"547A",5470001,"intact",388950,4824157,NA,NA,NA,NA
"561A",5610001,"historic",396122,4826305,NA,NA,NA,NA
"453A",4530001,"historic",360609,4867455,NA,NA,NA,NA
"453B",4530002,"intact",360549,4867556,NA,NA,NA,NA
"529A",5290001,"intact",371351,4862925,NA,NA,NA,NA
"632A",6320001,"historic",375533,4852043,NA,NA,NA,NA
"376A",3760001,"intact",386158,4858800,NA,NA,NA,NA
"230A",2300001,"historic",345344,4889351,NA,NA,NA,NA
"454A",4540001,"intact",390304,4877521,NA,NA,NA,NA
"099A",990001,"historic",415188,4840290,NA,NA,NA,NA
"497A",4970001,"historic",414923,4846432,NA,NA,NA,NA
"497B",4970002,"historic",415070,4846228,NA,NA,NA,NA
"268A",2680001,"historic",408593,4849861,NA,NA,NA,NA
"268B",2680002,"historic",409592,4849530,NA,NA,NA,NA
"268C",2680003,"intact",409272,4849370,NA,NA,NA,NA
"202A",2020001,"historic",414585,4850896,NA,NA,NA,NA
"202C",2020003,"historic",415553,4851470,NA,NA,NA,NA
"202B",2020002,"historic",415789,4851729,NA,NA,NA,NA
"202D",2020004,"intact",415826,4851874,NA,NA,NA,NA
"599A",5990001,"intact",412438,4873668,NA,NA,NA,NA
"334A",3340001,"intact",410227,4871635,NA,NA,NA,NA
"334B",3340002,"historic",409867,4871014,NA,NA,NA,NA
"562A",5620001,"historic",405746,4875206,NA,NA,NA,NA
"562B",5620002,"intact",406134,4874788,NA,NA,NA,NA
"510A",5100001,"intact",403890,4879491,NA,NA,NA,NA
"510B",5100002,"historic",403783,4878875,NA,NA,NA,NA
"626A",6260001,"intact",402074,4884096,NA,NA,NA,NA
"408A",4080001,"historic",403447,4888747,NA,NA,NA,NA
"408B",4080002,"intact",403080,4889238,NA,NA,NA,NA
"407A",4070001,"historic",412183,4890847,NA,NA,NA,NA
"407B",4070002,"intact",412056,4890970,NA,NA,NA,NA
"407C",4070003,"historic",412080,4891271,NA,NA,NA,NA
"274A",2740001,"historic",403559,4892227,NA,NA,NA,NA
"274B",2740002,"intact",403720,4892037,NA,NA,NA,NA
"257A",2570001,"intact",424531,4854357,NA,NA,NA,NA
"257B",2570002,"intact",423730,4854464,NA,NA,NA,NA
"316A",3160001,"historic",427288,4857327,NA,NA,NA,NA
"316B",3160002,"historic",427320,4857417,NA,NA,NA,NA
"316C",3160003,"intact",427913,4856892,NA,NA,NA,NA
"316D",3160004,"historic",427873,4856673,NA,NA,NA,NA
"588A",5880001,"intact",426916,4851833,NA,NA,NA,NA
"530A",5300001,"intact",424371,4848169,NA,NA,NA,NA
"396A",3960001,"intact",429110,4847760,NA,NA,NA,NA
"345A",3450001,"historic",434170,4858280,NA,NA,NA,NA
"345B",3450002,"intact",434163,4858121,NA,NA,NA,NA
"345C",3450003,"intact",434193,4858230,NA,NA,NA,NA
"168A",1680001,"historic",435617,4854498,NA,NA,NA,NA
"168B",1680002,"historic",435484,4854073,NA,NA,NA,NA
"168C",1680003,"historic",435509,4854127,NA,NA,NA,NA
"168D",1680004,"intact",435832,4853954,NA,NA,NA,NA
"290A",2900001,"historic",435495,4850646,NA,NA,NA,NA
"290B",2900002,"intact",435523,4850932,NA,NA,NA,NA
"432A",4320001,"historic",438389,4844163,NA,NA,NA,NA
