FID_,OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
,2690,Point_3792,2,Animal Location,3817,3817,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],600A,359633.3978,4771301.13
,2692,Point_3794,10,Animal Location,3819,3819,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],488A,348174.9077,4824581.308
,2693,Point_3795,1,Animal Location,3820,3820,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],488B,348117.6186,4824378.006
,2694,Point_3796,10,Animal Location,3821,3821,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],549A,373978.808,4826104.575
,2695,Point_3797,10,Animal Location,3822,3822,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],549B,375303.8722,4823903.598
,2696,Point_3798,10,Animal Location,3823,3823,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],547A,388949.594,4824157.173
,2697,Point_3799,10,Animal Location,3824,3824,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],561A,396122.167,4826305.212
,2698,Point_3800,10,Animal Location,3825,3825,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],453A,360609.0717,4867454.767
,2699,Point_3801,10,Animal Location,3826,3826,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],453B,360548.9703,4867555.532
,2700,Point_3802,8.5,Animal Location,3827,3827,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],529A,371350.549,4862925.257
,2701,Point_3803,10,Animal Location,3828,3828,0,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],632A,375533.106,4852042.935
,2702,Point_3804,12,Animal Location,3829,3829,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],376A,386158,4858800
,2703,Point_2089,12,Animal Location,2089,2089,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],230A,345344.4148,4889350.975
,2704,Point_3805,10,Animal Location,3830,3830,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],454A,390304.1077,4877520.52
,2705,Point_1842,12,Animal Location,1842,1842,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],099A,415188,4840290
,2706,Point_3806,12,Animal Location,3831,3831,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],497A,414922.891,4846432.205
,2707,Point_3807,12,Animal Location,3832,3832,0,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],497B,415070.16,4846228.482
,2708,Point_2207,12,Animal Location,2207,2207,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],268A,408592.9374,4849861.445
,2709,Point_3808,12,Animal Location,3833,3833,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],268B,409592,4849530
,2710,Point_3809,7,Animal Location,3816,3816,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],268C,409271.589,4849369.794
,2711,Point_2047,12,Animal Location,2047,2047,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],202A,414585.2927,4850895.94
,2712,Point_2234,12,Animal Location,2234,2234,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],202C,415553.4941,4851469.669
,2713,Point_2193,12,Animal Location,2193,2193,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],202B,415789.2867,4851728.951
,2714,Point_2274,12,Animal Location,2274,2274,5074,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],202D,415826.4779,4851874.104
,2715,Point_3810,5,Animal Location,3834,3834,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],599A,412437.949,4873668.223
,2716,Point_3811,12,Animal Location,3835,3835,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],334A,410227.0135,4871635.389
,2717,Point_3812,6,Animal Location,3836,3836,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],334B,409867.2328,4871013.667
,2718,Point_3813,5,Animal Location,3837,3837,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],562A,405746.418,4875206.207
,2719,Point_3814,7,Animal Location,3838,3838,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],562B,406134.3286,4874788.329
,2720,Point_3815,8.5,Animal Location,3839,3839,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],510A,403889.7185,4879490.994
,2721,Point_3816,7.5,Animal Location,3840,3840,0,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],510B,403782.789,4878874.636
,2722,Point_3817,4,Animal Location,3841,3841,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],626A,402074.3833,4884095.854
