"nest_id","nest_id_num","status","nest_long_utm","nest_lat_utm","territory"
"002F",20006,"intact",412260,4906670,"002"
"003C",30003,"intact",425194,4898910,"003"
"004C",40003,"intact",436616,4902570,"004"
"005D",50004,"intact",439363,4890910,"005"
"006B",60002,"intact",439962,4891875,"006"
"007A",70001,"intact",436986,4880270,"007"
"008K",80011,"intact",436527,4877831,"008"
"009G",90007,"intact",433842,4872681,"009"
"010E",100005,"intact",431311,4870970,"010"
"011I",110009,"intact",434039,4867420,"011"
"013G",130007,"intact",441021,4859285,"013"
"014E",140005,"intact",457452,4878903,"014"
"016G",160007,"intact",501535,4891357,"016"
"017F",170006,"intact",516455,4891970,"017"
"020E",200005,"intact",520460,4918770,"020"
"021D",210004,"intact",525340,4914850,"021"
"022A",220001,"intact",533612,4910704,"022"
"023G",230007,"intact",551242,4886921,"023"
"026F",260006,"intact",553947,4911617,"026"
"027A",270001,"intact",544130,4910659,"027"
"028D",280004,"intact",552866,4920090,"028"
"029H",290008,"intact",544299,4930699,"029"
"030C",300003,"intact",549526,4947276,"030"
"031F",310006,"intact",557860,4929630,"031"
"032F",320006,"intact",555099,4930813,"032"
"033I",330009,"intact",557916,4934358,"033"
"034D",340004,"intact",560664,4936830,"034"
"035D",350004,"intact",563288,4925100,"035"
"036F",360006,"intact",562067,4930130,"036"
"037J",370010,"intact",567046,4923840,"037"
"038E",380005,"intact",570659,4924680,"038"
"040D",400004,"intact",566423,4916790,"040"
"041D",410004,"intact",564276,4916589,"041"
"042D",420004,"intact",569054,4914823,"042"
"043I",430009,"intact",577165,4908890,"043"
"044A",440001,"intact",584155,4922341,"044"
"045B",450002,"intact",581852,4927009,"045"
"046G",460007,"intact",592271,4922334,"046"
"047A",470001,"intact",595287,4925143,"047"
"048G",480007,"intact",595060,4929951,"048"
"049H",490008,"intact",598042,4932755,"049"
"051F",510006,"intact",602874,4927230,"051"
"052J",520010,"intact",605787,4931013,"052"
"053D",530004,"intact",615049,4928833,"053"
"054C",540003,"intact",616430,4931964,"054"
"055D",550004,"intact",621291,4936130,"055"
"056G",560007,"intact",617229,4941096,"056"
"057E",570005,"intact",629553,4947118,"057"
"058E",580005,"intact",623285,4952350,"058"
"059D",590004,"intact",620176,4962250,"059"
"060D",600004,"intact",629709,4960465,"060"
"062C",620003,"intact",644360,4962921,"062"
"063E",630005,"intact",646030,4966314,"063"
"064A",640001,"intact",646093,4970300,"064"
"065D",650004,"intact",645299,4973360,"065"
"066F",660006,"intact",640793,4974460,"066"
"067I",670009,"intact",646723,4976759,"067"
"068C",680003,"intact",649018,4971958,"068"
"069E",690005,"intact",648338,4978183,"069"
"070D",700004,"intact",653035,4969500,"070"
"071D",710004,"intact",648057,4983926,"071"
"072F",720006,"intact",639110,4999360,"072"
"073F",730006,"intact",634743,5000735,"073"
"074D",740004,"intact",612957,4994678,"074"
"075D",750004,"intact",557528,4987371,"075"
"076D",760004,"intact",567128,4988745,"076"
"077B",770002,"intact",586784,4996926,"077"
"080C",800003,"intact",603011,5000600,"080"
"081C",810003,"intact",582699,5013280,"081"
"082C",820003,"intact",615483,5012860,"082"
"083D",830004,"intact",610757,5033217,"083"
"084D",840004,"intact",590723,5037803,"084"
"085G",850007,"intact",589422,5052090,"085"
"088F",880006,"intact",494729,5078396,"088"
"089B",890002,"intact",503881,5067207,"089"
"090A",900001,"intact",476379,5128094,"090"
"092H",920008,"intact",456470,5066150,"092"
"094D",940004,"intact",513719,4940119,"094"
"095B",950002,"intact",528965,5001396,"095"
"096C",960003,"intact",528378,5014486,"096"
"097D",970004,"intact",542562,5048874,"097"
"098E",980005,"intact",528614,5056043,"098"
"099B",990002,"intact",433982,4872770,"099"
"101C",1010003,"intact",643409,4974662,"101"
"102B",1020002,"intact",438436,4883675,"102"
"106D",1060004,"intact",480669,4884255,"106"
"107F",1070006,"intact",508304,4877656,"107"
"108E",1080005,"intact",515279,4882130,"108"
"109A",1090001,"intact",514370,4887000,"109"
"111G",1110007,"intact",619472,4938178,"111"
"114A",1140001,"intact",519002,5112828,"114"
"116E",1160005,"intact",515295,5187775,"116"
"118B",1180002,"intact",635997,4970390,"118"
"119G",1190007,"intact",614059,4927117,"119"
"121C",1210003,"intact",636171,4942090,"121"
"123B",1230002,"intact",644835,4979095,"123"
"124A",1240001,"intact",602457,4989290,"124"
"125F",1250006,"intact",608639,4926978,"125"
"126C",1260003,"intact",630192,4965460,"126"
"127E",1270005,"intact",599835,4934700,"127"
"128C",1280003,"intact",623870,4942550,"128"
"129D",1290004,"intact",645457,4999054,"129"
"130C",1300003,"intact",614053,5001143,"130"
"132B",1320002,"intact",634888,4994000,"132"
"133B",1330002,"intact",649308,4978612,"133"
"137D",1370004,"intact",593600,5065825,"137"
"138H",1380008,"intact",560246,4889612,"138"
"139D",1390004,"intact",491821,5155387,"139"
"140D",1400004,"intact",617132,5012321,"140"
"141C",1410003,"intact",518842,5053050,"141"
"142D",1420004,"intact",579628,4958911,"142"
"143B",1430002,"intact",564739,5090628,"143"
"144D",1440004,"intact",586258,4923733,"144"
"145D",1450004,"intact",578808,4924367,"145"
"146C",1460003,"intact",531156,4877540,"146"
"148D",1480004,"intact",609022,4929710,"148"
"149D",1490004,"intact",538334,5025567,"149"
"151A",1510001,"intact",546375,5034386,"151"
"152F",1520006,"intact",540642,4885656,"152"
"153E",1530005,"intact",613684,4930224,"153"
"154E",1540005,"intact",536891,5024473,"154"
"155D",1550004,"intact",465911,4869120,"155"
"156F",1560006,"intact",395255,5007845,"156"
"157B",1570002,"intact",520768,4899190,"157"
"159C",1590003,"intact",481472,4968877,"159"
"161B",1610002,"intact",646537,4986562,"161"
"162D",1620004,"intact",629348,4939722,"162"
"163C",1630003,"intact",451029,5120210,"163"
"164D",1640004,"intact",626984,4954310,"164"
"165D",1650004,"intact",657588,4970441,"165"
"166B",1660002,"intact",519232,4930891,"166"
"167D",1670004,"intact",598906,4928585,"167"
"168D",1680004,"intact",435832,4853954,"168"
"169E",1690005,"intact",540904,4917644,"169"
"171G",1710007,"intact",642810,4973244,"171"
"172A",1720001,"intact",542694,5003838,"172"
"173D",1730004,"intact",476994,5142129,"173"
"174B",1740002,"intact",525084,5026253,"174"
"175B",1750002,"intact",507584,5036820,"175"
"176A",1760001,"intact",525077,5036850,"176"
"177B",1770002,"intact",438930,5044860,"177"
"178D",1780004,"intact",429429,4868966,"178"
"179F",1790006,"intact",526719,4884112,"179"
"182A",1820001,"intact",431739,5086020,"182"
"183B",1830002,"intact",615863,4937074,"183"
"184B",1840002,"intact",527934,4995230,"184"
"185C",1850003,"intact",429112,5053651,"185"
"186B",1860002,"intact",470419,5104341,"186"
"187E",1870005,"intact",583168,4916595,"187"
"189F",1890006,"intact",583251,5020313,"189"
"190F",1900006,"intact",547760,5044969,"190"
"191D",1910004,"intact",493439,4868541,"191"
"192C",1920003,"intact",439446,4886985,"192"
"193E",1930005,"intact",513235,4901475,"193"
"194B",1940002,"intact",659272,4970280,"194"
"195B",1950002,"intact",606479,4929880,"195"
"196B",1960002,"intact",605143,4926294,"196"
"197H",1970008,"intact",558465,4933225,"197"
"198D",1980004,"intact",545965,4885993,"198"
"199D",1990004,"intact",523281,4963269,"199"
"200A",2000001,"intact",580573,5005730,"200"
"201A",2010001,"intact",547717,4914631,"201"
"202D",2020004,"intact",415826,4851874,"202"
"203B",2030002,"intact",467165,4951370,"203"
"204B",2040002,"intact",428558,4865804,"204"
"205C",2050003,"intact",558174,5018393,"205"
"207E",2070005,"intact",548737,5207360,"207"
"209C",2090003,"intact",459092,5045117,"209"
"210D",2100004,"intact",518023,4912032,"210"
"211D",2110004,"intact",643165,4945765,"211"
"212B",2120002,"intact",450332,4875479,"212"
"213A",2130001,"intact",528843,5009476,"213"
"214D",2140004,"intact",531845,5052587,"214"
"215D",2150004,"intact",534114,4883141,"215"
"216C",2160003,"intact",471750,5158406,"216"
"217C",2170003,"intact",453880,4860678,"217"
"218A",2180001,"intact",648501,4968928,"218"
"219B",2190002,"intact",338830,4961490,"219"
"220B",2200002,"intact",512515,4950254,"220"
"221C",2210003,"intact",562264,4958421,"221"
"222D",2220004,"intact",621136,4968677,"222"
"224C",2240003,"intact",638795,4943200,"224"
"225B",2250002,"intact",354759,4977094,"225"
"226C",2260003,"intact",550289,5213383,"226"
"227C",2270003,"intact",555464,5223550,"227"
"228D",2280004,"intact",537358,5186187,"228"
"230B",2300002,"intact",346508,4891174,"230"
"231D",2310004,"intact",457685,4975095,"231"
"232B",2320002,"intact",632243,4949120,"232"
"234A",2340001,"intact",589704,5009610,"234"
"235C",2350003,"intact",485473,5143339,"235"
"236D",2360004,"intact",524900,5051811,"236"
"237A",2370001,"intact",467821,4861880,"237"
"238B",2380002,"intact",484112,4870213,"238"
"239B",2390002,"intact",561022,4978010,"239"
"240C",2400003,"intact",446789,4863292,"240"
"241A",2410001,"intact",560204,4919077,"241"
"242B",2420002,"intact",592471,4932978,"242"
"244C",2440003,"intact",436278,4924729,"244"
"245B",2450002,"intact",505552,5052697,"245"
"246C",2460003,"intact",543731,4906821,"246"
"248B",2480002,"intact",540034,5064660,"248"
"249D",2490004,"intact",445308,4854715,"249"
"250B",2500002,"intact",506078,4909119,"250"
"251D",2510004,"intact",455926,4934950,"251"
"252F",2520006,"intact",354275,4970430,"252"
"254C",2540003,"intact",560224,4899330,"254"
"256E",2560005,"intact",608069,5007686,"256"
"257B",2570002,"intact",423730,4854464,"257"
"258C",2580003,"intact",577137,5015762,"258"
"259C",2590003,"intact",604339,5005189,"259"
"260B",2600002,"intact",610916,5012878,"260"
"262C",2620003,"intact",445217,4924265,"262"
"263B",2630002,"intact",645831,4964518,"263"
"264A",2640001,"intact",481438,5082150,"264"
"266B",2660002,"intact",628354,4999664,"266"
"267B",2670002,"intact",591111,4919734,"267"
"268C",2680003,"intact",409272,4849370,"268"
