PK_NestSite,IntactDuringLastYearObs.,FK_NestArea,NestSiteName,YearLastMonitored,YearLastNestIntact,YearLastEagleOccupancy,YearFirstMonitored,HistoryComments,LandscapeHabitat,County,IFWRegion,Species,TreeCondition,NestTreeStandProminence,NestTreeComments,nest_id,Accuracy,Type,UseID,UTM_long,UTM_lat
001A,No,1,Oak Island,2013,1982,2005,1963,,interior,Kennebec,B,eastern white pine,alive - top intact,supercanopy,,001A,12,A,IO,433553,4930140
002A,No,2,Lothrop Island,2013,1972,2000,1969,,interior,Androscoggin,B,eastern white pine,alive - top intact,dominant,Nest tree died and overall condition deteriorated notably during the years of eagle nesting activity.,002A,12,A,IO,412281,4906670
002B,No,2,Lothrop Island,2013,1991,1991,1990,,interior,Androscoggin,B,eastern white pine,alive - top broken,,,002B,12,A,IO,412169,4906650
002C,No,2,Lothrop Island,2013,1993,1992,1992,,interior,Androscoggin,B,eastern white pine,alive - top intact,,,002C,12,A,IO,412259,4906640
002D,No,2,Lothrop Island,2013,1997,1997,1993,,interior,Androscoggin,B,eastern white pine,alive - top intact,,,002D,12,A,IO,412167,4906610
002E,No,2,Lothrop Island,2013,1999,1999,1998,,interior,Androscoggin,B,eastern white pine,alive - top intact,,,002E,12,A,IO,412212,4906650
002F,Yes,2,Lothrop Island,2013,2013,2013,2000,,interior,Androscoggin,B,eastern white pine,alive - top intact,supercanopy,,002F,12,A,ER,412260,4906670
002G,No,2,Lothrop Island,2013,2003,2002,2002,,interior,Androscoggin,B,eastern white pine,alive - top intact,dominant,,002G,12,A,IO,412223,4906630
003A,No,3,Undine Bay upland,2013,1974,1966,1965,,interior,Kennebec,B,eastern white pine,dead - top intact,supercanopy,,003A,12,A,IO,422475,4898700
003B,No,3,Lovers Island,2013,1998,1999,1998,,interior,Kennebec,B,eastern white pine,alive - top intact,dominant,,003B,12,A,IO,423476,4899327
003C,Yes,3,Goodwin Island,2014,2014,2014,2000,,interior,Kennebec,B,eastern white pine,alive - top intact,supercanopy,,003C,12,A,ER,425194,4898910
004A,No,4,Ashman Drive shoreline,2013,1979,1969,1969,,coastal,Kennebec,B,eastern white pine,dead - top intact,supercanopy,,004A,12,A,IO,437344,4903150
004B,No,4,Vaughn Brook upland,2013,1999,1999,1999,,coastal,Kennebec,B,eastern white pine,alive - top intact,dominant,,004B,12,A,IO,436657,4902860
004C,Yes,4,Vaughn Brook upland,2014,2014,2014,2000,,coastal,Kennebec,B,eastern white pine,alive - top intact,dominant,,004C,12,A,ER,436616,4902570
005B,No,5,Nehumkeag Island,2014,1979,1974,1970,,coastal,Kennebec,B,eastern white pine,alive - top intact,dominant,,005B,12,A,IO,439421,4890980
005C,No,5,Nehumkeag Island,2014,1963,NA,1962,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Kennebec,B,eastern white pine,alive - top intact,dominant,,005C,12,A,IO,439359,4890880
005D,Yes,5,Nehumkeag Island,2014,2014,2014,2001,,coastal,Kennebec,B,eastern white pine,alive - top intact,supercanopy,,005D,12,A,ER,439363,4890910
006A,No,6,Nehumkeag Pond shoreline,2013,1976,1968,1962,,coastal,Kennebec,B,northern red oak,alive - top intact,dominant,,006A,12,A,IO,442656,4892090
006B,Yes,6,Bailey Corner vicinity shoreline,2014,2014,2014,2009,,coastal,Kennebec,B,eastern white pine,alive - top intact,dominant,,006B,11.5,A,ER,439961,4891874
007A,Yes,7,Little Swan Island,2014,2014,2013,1964,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,supercanopy,,007A,12,A,ER,436986,4880270
007B,No,7,Swan Island upland,2013,1983,1969,1962,,coastal,Sagadahoc,B,eastern white pine,dead - top broken,supercanopy,,007B,12,A,IO,436453,4879710
007C,No,7,Swan Island,2013,1968,1968,1966,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,,,007C,12,A,IO,437126,4880170
007D,No,7,Little Swan Island,2014,1963,1963,1963,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,,,007D,12,A,IO,436251,4879430
008A,No,8,Swan Island - Big Pond vicinity,2013,1992,1984,1962,,coastal,Sagadahoc,B,northern red oak,alive - top intact,dominant,,008A,12,A,IO,435939,4877640
008B,Yes,8,Swan Island - Shipyard Point vicinity,2014,2014,2014,1964,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,dominant,,008B,12,A,ER,436418,4877490
008C,No,8,Kennebec River upland - Webbs Point vicinity,2013,1967,1963,1962,,coastal,Lincoln,B,eastern white pine,alive - top intact,dominant,,008C,12,A,IO,437867,4876010
008D,No,8,Swan Island - Shipyard Point,2013,1968,1965,1965,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,,,008D,12,A,IO,436245,4877249
008E,No,8,Swan Island - Farm Ponds vicinity,2013,1989,1983,1983,,coastal,Sagadahoc,B,northern red oak,alive - top intact,,,008E,12,A,IO,436521,4877815
008F,No,8,Swan Island - Farm Ponds vicinity,2013,1992,1988,1985,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,,,008F,12,A,IO,436466,4878004
008G,No,8,Swan Island - Big Pond vicinity,2013,1989,1987,1986,,coastal,Sagadahoc,B,northern red oak,alive - top intact,,,008G,12,A,IO,435523,4876990
008H,No,8,Swan Island Point upland,2013,1995,1994,1991,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,,,008H,12,A,IO,434772,4876260
008I,No,8,Swan Island Point vicinity,2013,1995,NA,1995,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Sagadahoc,B,eastern white pine,alive - top intact,,,008I,12,A,IO,435132,4876180
008J,Yes,8,Swan Island - Shipyard Point vicinity,2013,2013,2010,2008,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,dominant,,008J,4,A,ER,436398,4877455
008K,No,0,Swan Island - Farm Ponds vicinity,2013,2012,NA,2012,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Sagadahoc,B,northern red oak,alive - top intact,dominant,,008K,12.5,A,IO,436527,4877830
009A,No,9,Twings Point Road shoreline,2013,1978,1990,1964,,coastal,Sagadahoc,B,northern red oak,alive - top intact,supercanopy,"Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.",009A,12,A,IO,435300,4874830
009B,No,9,Abagdasset Point,2014,1979,1977,1962,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,supercanopy,,009B,12,A,IO,433972,4872804
009C,No,9,Twings Point Road shoreline,2013,1968,1963,1963,,coastal,Sagadahoc,B,northern red oak,alive - top intact,dominant,,009C,12,A,IO,435209,4874650
009D,No,9,Chops Creek upland,2013,1970,1970,1968,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,dominant,,009D,12,A,IO,436420,4874320
009E,No,9,Abagdasset Point,2014,2010,2010,2001,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,dominant,,009E,12,A,IO,433857,4872719
009F,No,9,Abagdasset Point vicinity,2014,2008,NA,2001,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Sagadahoc,B,eastern white pine,alive - top intact,dominant,,009F,12,A,IO,433407,4873081
009G,Yes,9,Abagdasset Point vicinity,2014,2014,2014,2011,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,dominant,,009G,12.5,A,ER,433841,4872680
010A,No,10,Bald Head,2013,1976,1979,1963,,coastal,Sagadahoc,B,eastern white pine,dead - top broken,dominant,,010A,12,A,IO,431340,4871070
010B,No,10,Bald Head,2013,1968,1965,1962,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,dominant,,010B,12,A,IO,431326,4871020
010E,Yes,10,Bald Head,2013,2013,2013,1989,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,supercanopy,,010E,12,A,ER,431311,4870970
011A,No,11,Crawford Island,2013,1999,1996,1966,,coastal,Sagadahoc,A,eastern white pine,alive - top intact,dominant,,011A,12,A,IO,433322,4866804
011D,No,11,Crawford Island,2013,1983,NA,1980,No documented occupancy by eagles during surveys conducted through 2013 at this nest.,coastal,Sagadahoc,A,eastern white pine,alive - top broken,dominant,,011D,12,A,IO,433355,4866870
011E,No,11,Thorne Island,2013,1990,1990,1990,,coastal,Sagadahoc,B,eastern white pine,dead - top intact,dominant,,011E,12,A,IO,434042,4867290
011F,No,11,Thorne Island,2013,1995,1993,1992,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,dominant,,011F,12,A,IO,434089,4867423
011G,No,11,Thorne Island,2013,2007,2007,1994,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,dominant,,011G,12,A,IO,434031,4867560
011H,Yes,11,Little Lines Island,2013,2013,2008,2000,,coastal,Sagadahoc,B,eastern white pine,alive - top intact,dominant,,011H,12,A,ER,433819,4867610
