nest_id,nest_id_num,status,nest_long_utm,nest_lat_utm
002F,20006,intact,412260,4906670
003C,30003,intact,425194,4898910
004C,40003,intact,436616,4902570
005D,50004,intact,439363,4890910
006B,60002,intact,439962,4891875
007A,70001,intact,436986,4880270
008B,80002,intact,436419,4877490
008J,80010,intact,436399,4877455
008K,80011,intact,436527,4877831
009G,90007,intact,433842,4872681
010E,100005,intact,431311,4870970
011H,110008,intact,433819,4867610
011I,110009,intact,434039,4867420
013G,130007,intact,441021,4859285
014E,140005,intact,457452,4878903
016G,160007,intact,501535,4891357
017E,170005,intact,516334,4892022
017F,170006,intact,516455,4891970
020E,200005,intact,520460,4918770
021D,210004,intact,525340,4914850
022A,220001,intact,533612,4910704
023G,230007,intact,551242,4886921
026F,260006,intact,553947,4911617
027A,270001,intact,544130,4910659
028D,280004,intact,552866,4920090
029H,290008,intact,544299,4930699
030C,300003,intact,549526,4947276
031F,310006,intact,557860,4929630
032F,320006,intact,555099,4930813
033I,330009,intact,557916,4934358
034D,340004,intact,560664,4936830
035D,350004,intact,563288,4925100
036F,360006,intact,562067,4930130
037C,370003,intact,567176,4923880
037J,370010,intact,567046,4923840
038E,380005,intact,570659,4924680
040D,400004,intact,566423,4916790
041D,410004,intact,564276,4916589
042D,420004,intact,569054,4914823
043I,430009,intact,577165,4908890
044A,440001,intact,584155,4922341
045B,450002,intact,581852,4927009
046F,460006,intact,591465,4922634
046G,460007,intact,592271,4922334
047A,470001,intact,595287,4925143
048F,480006,intact,595106,4929669
048G,480007,intact,595060,4929951
049H,490008,intact,598042,4932755
051F,510006,intact,602874,4927230
052H,520008,intact,605819,4931090
052J,520010,intact,605787,4931013
053D,530004,intact,615049,4928833
054C,540003,intact,616430,4931964
055D,550004,intact,621291,4936130
056G,560007,intact,617229,4941096
057E,570005,intact,629553,4947118
058E,580005,intact,623285,4952350
059D,590004,intact,620176,4962250
060D,600004,intact,629709,4960465
062C,620003,intact,644360,4962921
063C,630003,intact,646108,4966220
063E,630005,intact,646030,4966314
064A,640001,intact,646093,4970300
065D,650004,intact,645299,4973360
066F,660006,intact,640793,4974460
067I,670009,intact,646723,4976759
068C,680003,intact,649018,4971958
069E,690005,intact,648338,4978183
070A,700001,intact,653480,4969940
070D,700004,intact,653035,4969500
071D,710004,intact,648057,4983926
072F,720006,intact,639110,4999360
073F,730006,intact,634743,5000735
074D,740004,intact,612957,4994678
075D,750004,intact,557528,4987371
076D,760004,intact,567128,4988745
077B,770002,intact,586784,4996926
080B,800002,intact,603003,5.00E+06
080C,800003,intact,603011,5000600
081C,810003,intact,582699,5013280
082C,820003,intact,615483,5012860
083B,830002,intact,610771,5033142
083D,830004,intact,610757,5033217
084D,840004,intact,590723,5037803
085F,850006,intact,589139,5051991
085G,850007,intact,589422,5052090
088F,880006,intact,494729,5078396
089B,890002,intact,503881,5067207
090A,900001,intact,476379,5128094
092H,920008,intact,456470,5066150
094A,940001,intact,512076,4938630
094D,940004,intact,513719,4940119
095B,950002,intact,528965,5001396
096C,960003,intact,528378,5014486
097D,970004,intact,542562,5048874
098D,980004,intact,528309,5056104
098E,980005,intact,528614,5056043
099B,990002,intact,433982,4872770
101C,1010003,intact,643409,4974662
102B,1020002,intact,438436,4883675
106D,1060004,intact,480669,4884255
107F,1070006,intact,508304,4877656
108E,1080005,intact,515279,4882130
109A,1090001,intact,514370,4887000
111F,1110006,intact,618991,4938190
111G,1110007,intact,619472,4938178
114A,1140001,intact,519002,5112828
116E,1160005,intact,515295,5187775
118B,1180002,intact,635997,4970390
119G,1190007,intact,614059,4927117
121C,1210003,intact,636171,4942090
123B,1230002,intact,644835,4979095
124A,1240001,intact,602457,4989290
125F,1250006,intact,608639,4926978
126C,1260003,intact,630192,4965460
127E,1270005,intact,599835,4934700
128C,1280003,intact,623870,4942550
129D,1290004,intact,645457,4999054
130A,1300001,intact,613894,5002270
130C,1300003,intact,614053,5001143
132B,1320002,intact,634888,4994000
133B,1330002,intact,649308,4978612
137C,1370003,intact,593591,5065850
137D,1370004,intact,593600,5065825
138F,1380006,intact,560064,4889010
138H,1380008,intact,560246,4889612
139D,1390004,intact,491821,5155387
140D,1400004,intact,617132,5012321
141A,1410001,intact,518546,5053150
141C,1410003,intact,518842,5053050
142D,1420004,intact,579628,4958911
143B,1430002,intact,564739,5090628
144D,1440004,intact,586258,4923733
145D,1450004,intact,578808,4924367
146C,1460003,intact,531156,4877540
148D,1480004,intact,609022,4929710
149C,1490003,intact,537769,5025885
149D,1490004,intact,538334,5025567
151A,1510001,intact,546375,5034386
152F,1520006,intact,540642,4885656
153E,1530005,intact,613684,4930224
154C,1540003,intact,535594,5023630
