OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
2690,Point_3792,2.00000000000,Animal Location,3817,3817,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],600A,359633.39779200000,4771301.12999000000
2692,Point_3794,10.00000000000,Animal Location,3819,3819,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],488A,348174.90768800000,4824581.30771000000
2693,Point_3795,1.00000000000,Animal Location,3820,3820,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],488B,348117.61857300000,4824378.00630000000
2694,Point_3796,10.00000000000,Animal Location,3821,3821,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],549A,373978.80795600000,4826104.57513000000
2695,Point_3797,10.00000000000,Animal Location,3822,3822,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],549B,375303.87222900000,4823903.59800000000
2696,Point_3798,10.00000000000,Animal Location,3823,3823,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],547A,388949.59400000000,4824157.17300000000
2697,Point_3799,10.00000000000,Animal Location,3824,3824,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],561A,396122.16700000000,4826305.21200000000
2698,Point_3800,10.00000000000,Animal Location,3825,3825,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],453A,360609.07167000000,4867454.76700000000
2699,Point_3801,10.00000000000,Animal Location,3826,3826,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],453B,360548.97030400000,4867555.53210000000
2700,Point_3802,8.50000000000,Animal Location,3827,3827,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],529A,371350.54900000000,4862925.25700000000
2701,Point_3803,10.00000000000,Animal Location,3828,3828,0,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],632A,375533.10600000000,4852042.93500000000
2702,Point_3804,12.00000000000,Animal Location,3829,3829,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],376A,386158.00000000000,4858800.00000000000
2703,Point_2089,12.00000000000,Animal Location,2089,2089,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],230A,345344.41483400000,4889350.97547000000
2704,Point_3805,10.00000000000,Animal Location,3830,3830,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],454A,390304.10773700000,4877520.52017000000
2705,Point_1842,12.00000000000,Animal Location,1842,1842,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],099A,415188.00000000000,4840290.00000000000
2706,Point_3806,12.00000000000,Animal Location,3831,3831,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],497A,414922.89100000000,4846432.20500000000
2707,Point_3807,12.00000000000,Animal Location,3832,3832,0,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],497B,415070.16000000000,4846228.48200000000
2708,Point_2207,12.00000000000,Animal Location,2207,2207,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],268A,408592.93736700000,4849861.44477000000
2709,Point_3808,12.00000000000,Animal Location,3833,3833,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],268B,409592.00000000000,4849530.00000000000
2710,Point_3809,7.00000000000,Animal Location,3816,3816,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],268C,409271.58900000000,4849369.79400000000
2711,Point_2047,12.00000000000,Animal Location,2047,2047,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],202A,414585.29273100000,4850895.93975000000
