dates QC,Field1,Plot QA/QC,ObsID,SignProtection?,Landowner,PK_NestSite,IntactDuringLastYearObs?,FK_NestArea,NestSiteName,YearLastMonitored,YearLastNestIntact,YearLastEagleOccupancy,YearFirstMonitored,HistoryComments,LandscapeHabitat,EH,FK_Geocode,County,IFWRegion,State/Province,Species,DBH,DateSiteEvaluation,TreeCondition,NestTreeStandProminence,NestTreeComments,Former MDIFW nest #,EO Code - #,Former USFWS nest #,Former NAS nest #,Comments nest # change,Former USFWS nest #1,Former NAS nest #1,Comments nest # change1,Former USFWS nest #11,Former NAS nest #11,Comments nest # change11,Edits?
TRUE,,TRUE,1614,,,001A,No,1,Oak Island,2013,1982,2005,1963,,interior,BE001A,11030,Kennebec,B,ME,eastern white pine,83.8,8/9/1977,alive - top intact,supercanopy,,,ABNKC10010-055,84 (1972 - 1973); 1 (1974 - 1976),KE-3 (< 1971),,,,,,,,
TRUE,,TRUE,1615,,,002A,No,2,Lothrop Island,2013,1972,2000,1969,,interior,BE002A,1040,Androscoggin,B,ME,eastern white pine,,,alive - top intact,dominant,Nest tree died and overall condition deteriorated notably during the years of eagle nesting activity.,,ABNKC10010-056,44 (1972 - 1973); 2 (1974 - 1976),AN-1 (< 1971),,,,,,,,
TRUE,,TRUE,1564,,,002B,No,2,Lothrop Island,2013,1991,1991,1990,,interior,BE002B,1040,Androscoggin,B,ME,eastern white pine,,,alive - top broken,,,,ABNKC10010-005,,,,,,,,,,
TRUE,,TRUE,2023,,,002C,No,2,Lothrop Island,2013,1993,1992,1992,,interior,BE002C,1040,Androscoggin,B,ME,eastern white pine,,,alive - top intact,,,,ABNKC10010-464,,,,,,,,,,
TRUE,,TRUE,2059,,,002D,No,2,Lothrop Island,2013,1997,1997,1993,,interior,BE002D,1040,Androscoggin,B,ME,eastern white pine,,,alive - top intact,,,,ABNKC10010-500,,,,,,,,,,
TRUE,,TRUE,2235,,,002E,No,2,Lothrop Island,2013,1999,1999,1998,,interior,BE002E,1040,Androscoggin,B,ME,eastern white pine,,,alive - top intact,,,,ABNKC10010-676,,,,,,,,,,
TRUE,,TRUE,2309,,,002F,Yes,2,Lothrop Island,2013,2013,2013,2000,,interior,BE002F,1040,Androscoggin,B,ME,eastern white pine,,,alive - top intact,supercanopy,,,ABNKC10010-750,,,,,,,,,,
TRUE,,TRUE,4074,,,002G,No,2,Lothrop Island,2013,2003,2002,2002,,interior,BE002G,1040,Androscoggin,B,ME,eastern white pine,,,alive - top intact,dominant,,,,,,,,,,,,,
TRUE,,TRUE,1570,,,003A,No,3,Undine Bay upland,2013,1974,1966,1965,,interior,BE003A,11140,Kennebec,B,ME,eastern white pine,84.3,7/25/1980,dead - top intact,supercanopy,,,ABNKC10010-011,40A (1972 - 1973); 3 (1974 - 1976),KE-4 (< 1971),,,,,,,,
TRUE,,TRUE,2236,,,003B,No,3,Lovers Island,2013,1998,1999,1998,,interior,BE003B,11140,Kennebec,B,ME,eastern white pine,,,alive - top intact,dominant,,,ABNKC10010-677,,,,,,,,,,
