"","nest_id","nest_area","lat","long","x","y"
"1","059D","059",4962250,620176,4962250,620176
"2","137D","137",5065825,593599,5065825,593599
"3","495A","495",4992489,611459,4992489,611459
"4","492A","492",5014637,612736,5014637,612736
"5","089B","089",5067206,503880,5067206,503880
"6","287B","287",4940306,432686,4940306,432686
"7","404A","404",4904208,470567,4904208,470567
"8","683A","683",4984222,354610,4984222,354610
"9","665A","665",4926348,594184,4926348,594184
"10","318A","318",4979116,513342,4979116,513342
"11","676A","676",4909768,496468,4909768,496468
"12","518B","518",5167696,574127,5167696,574127
"13","196B","196",4926294,605142,4926294,605142
"14","643A","643",4951463,449115,4951463,449115
"15","417B","417",4935046,558055,4935046,558055
"16","649B","649",4973383,348648,4973383,348648
"17","629A","629",5011724,542758,5011724,542758
"18","566B","566",4981502,358904,4981502,358904
"19","708B","708",5116697,506285,5116697,506285
"20","506A","506",4915386,572625,4915386,572625
"21","068C","068",4971958,649018,4971958,649018
"22","224C","224",4943200,638795,4943200,638795
"23","111G","111",4938178,619471,4938178,619471
"24","539A","539",4936300,434723,4936300,434723
"25","030C","030",4947276,549526,4947276,549526
"26","304D","304",5004357,529629,5004357,529629
"27","371A","371",4904350,514081,4904350,514081
"28","040D","040",4916790,566423,4916790,566423
"29","029H","029",4930699,544299,4930699,544299
"30","627A","627",5033174,545123,5033174,545123
"31","478D","478",4896899,530817,4896899,530817
"32","214D","214",5052586,531844,5052586,531844
"33","212C","212",4874908,450436,4874908,450436
"34","065D","065",4973360,645299,4973360,645299
"35","320B","320",5074209,419123,5074209,419123
"36","267B","267",4919733,591111,4919733,591111
"37","377A","377",5008616,421975,5008616,421975
"38","095B","095",5001395,528965,5001395,528965
"39","639B","639",4867306,453732,4867306,453732
"40","072F","072",4999360,639110,4999360,639110
"41","723A","723",5005939,495036,5005939,495036
"42","201A","201",4914631,547717,4914631,547717
"43","179F","179",4884111,526718,4884111,526718
"44","680A","680",4931770,450876,4931770,450876
"45","292C","292",4847079,452885,4847079,452885
"46","195B","195",4929880,606479,4929880,606479
"47","364C","364",5180773,435729,5180773,435729
"48","321B","321",5140460,453443,5140460,453443
"49","028D","028",4920090,552866,4920090,552866
"50","167D","167",4928585,598905,4928585,598905
"51","146C","146",4877540,531156,4877540,531156
"52","378B","378",4982004,616057,4982004,616057
"53","731R01","731",4912200,466553,4912200,466553
"54","249D","249",4854714,445307,4854714,445307
"55","217C","217",4860677,453879,4860677,453879
"56","141C","141",5053050,518842,5053050,518842
"57","727A","727",4893271,552994,4893271,552994
"58","462A","462",5039853,521112,5039853,521112
"59","697B","697",4922334,592271,4922334,592271
"60","359D","359",4975612,655769,4975612,655769
"61","088H","088",5077474,494786,5077474,494786
"62","608A","608",4928175,616932,4928175,616932
"63","463A","463",4980102,533713,4980102,533713
"64","715A","715",5150066,560768,5150066,560768
"65","153E","153",4930224,613683,4930224,613683
"66","067I","067",4976759,646722,4976759,646722
"67","349B","349",5133111,470841,5133111,470841
"68","268C","268",4849369,409271,4849369,409271
"69","535C","535",4938397,545716,4938397,545716
"70","096C","096",5014486,528378,5014486,528378
"71","209C","209",5045117,459091,5045117,459091
"72","609B","609",4931688,606069,4931688,606069
"73","726A","726",4945508,524976,4945508,524976
"74","181F","181",5119668,458620,5119668,458620
"75","508B","508",4890982,542046,4890982,542046
"76","496C","496",4974980,642150,4974980,642150
"77","152F","152",4885655,540642,4885655,540642
"78","667A","667",4900893,371811,4900893,371811
"79","295C","295",4868057,471539,4868057,471539
"80","693A","693",4954310,626983,4954310,626983
"81","384A","384",5070055,581747,5070055,581747
"82","315A","315",4932185,592538,4932185,592538
"83","329A","329",4924791,585914,4924791,585914
"84","718A","718",4973064,612902,4973064,612902
"85","591B","591",4931134,441409,4931134,441409
"86","578A","578",4878355,484633,4878355,484633
"87","494A","494",4862417,436134,4862417,436134
"88","446A","446",5030836,593822,5030836,593822
"89","159A","159",4967830,482786,4967830,482786
"90","713A","713",5111772,449210,5111772,449210
"91","257B","257",4854463,423730,4854463,423730
"92","490B","490",4926340,615042,4926340,615042
"93","611B","611",5010550,575424,5010550,575424
"94","719A","719",4909089,413188,4909089,413188
"95","717A","717",4982337,577882,4982337,577882
"96","618B","618",4885843,439245,4885843,439245
"97","341D","341",4928206,416645,4928206,416645
"98","520A","520",4959416,656514,4959416,656514
"99","432B","432",4844244,438462,4844244,438462
"100","689A","689",4886435,428326,4886435,428326
"101","396A","396",4847760,429110,4847760,429110
"102","375C","375",4888520,523195,4888520,523195
"103","562B","562",4874788,406134,4874788,406134
"104","424A","424",4863527,442011,4863527,442011
"105","558A","558",4884277,450386,4884277,450386
"106","413B","413",4972599,655344,4972599,655344
"107","033I","033",4934358,557915,4934358,557915
"108","657A","657",4927467,390703,4927467,390703
"109","503A","503",4940513,574969,4940513,574969
"110","733A","733",4877722,380175,4877722,380175
"111","712B","712",5092937,410790,5092937,410790
"112","626A","626",4884095,402074,4884095,402074
"113","556A","556",4859579,464690,4859579,464690
"114","550A","550",5062990,562476,5062990,562476
"115","497C","497",4846271,415064,4846271,415064
"116","430D","430",4895456,543204,4895456,543204
"117","277B","277",4972949,528591,4972949,528591
"118","280A","280",5059186,440603,5059186,440603
"119","537A","537",4914862,408274,4914862,408274
"120","278C","278",4939182,453281,4939182,453281
"121","054C","054",4931964,616430,4931964,616430
"122","204B","204",4865803,428558,4865803,428558
"123","130D","130",5000907,614701,5000907,614701
"124","551B","551",5040669,449853,5040669,449853
"125","163C","163",5120210,451029,5120210,451029
"126","431A","431",4870678,446111,4870678,446111
"127","337B","337",5183018,587015,5183018,587015
"128","281A","281",5011110,391353,5011110,391353
"129","021E","021",4914864,525323,4914864,525323
"130","545A","545",4972978,648745,4972978,648745
"131","138H","138",4889611,560246,4889611,560246
"132","678A","678",4946904,632592,4946904,632592
"133","241A","241",4919077,560203,4919077,560203
"134","207F","207",5207670,548543,5207670,548543
"135","555C","555",4933533,449138,4933533,449138
"136","307C","307",4890949,544757,4890949,544757
"137","590B","590",5030587,498926,5030587,498926
"138","549B","549",4823903,375303,4823903,375303
"139","419B","419",4937357,595465,4937357,595465
"140","730A","730",5102030,465796,5102030,465796
"141","695C","695",4974503,643977,4974503,643977
"142","057E","057",4947117,629552,4947117,629552
"143","428A","428",4937476,620312,4937476,620312
"144","421A","421",4921804,521861,4921804,521861
"145","171G","171",4973244,642810,4973244,642810
"146","453B","453",4867555,360548,4867555,360548
"147","121C","121",4942090,636171,4942090,636171
"148","454A","454",4877520,390304,4877520,390304
"149","422C","422",4917901,521665,4917901,521665
"150","354A","354",4984464,505134,4984464,505134
"151","573A","573",4926332,540970,4926332,540970
"152","644A","644",4841747,404410,4841747,404410
"153","522B","522",4872820,428904,4872820,428904
