"","nest_id","nest_area","lat","long","intact","first_mon","last_mon","last_intact","last_occ","site_name","comments","landscape","county"
"1","002F","002",4906670,412260,"Yes",2000,"2013",2013,2013,"Lothrop Island","","interior","Androscoggin"
"2","003C","003",4898910,425194,"Yes",2000,"2014",2014,2014,"Goodwin Island","","interior","Kennebec"
"3","004C","004",4902570,436616,"Yes",2000,"2014",2014,2014,"Vaughn Brook upland","","coastal","Kennebec"
"4","005D","005",4890910,439363,"Yes",2001,"2014",2014,2014,"Nehumkeag Island","","coastal","Kennebec"
"5","006B","006",4891874,439961,"Yes",2009,"2014",2014,2014,"Bailey Corner vicinity shoreline","","coastal","Kennebec"
"6","007A","007",4880270,436986,"Yes",1964,"2013",2013,2013,"Little Swan Island","","coastal","Sagadahoc"
"7","008J","008",4877455,436398,"Yes",2008,"2013",2013,2010,"Swan Island - Shipyard Point vicinity","","coastal","Sagadahoc"
"8","009G","009",4872680,433841,"Yes",2011,"2014",2014,2014,"Abagdasset Point vicinity","","coastal","Sagadahoc"
"9","010E","010",4870970,431311,"Yes",1989,"2013",2013,2013,"Bald Head","","coastal","Sagadahoc"
"10","011I","011",4867420,434039,"Yes",2003,"2013",2013,2013,"Thorne Island","","coastal","Sagadahoc"
"11","013G","013",4859284,441020,"Yes",2007,"2013",2013,2013,"Tyler Islands","","coastal","Lincoln"
"12","014E","014",4878902,457451,"Yes",2008,"2013",2013,2013,"Damariscotta Mills vicinity","","interior","Lincoln"
"13","016G","016",4891356,501534,"Yes",2007,"2013",2013,2013,"Mark Island","","coastal","Knox"
"14","017F","017",4891970,516454,"Yes",2011,"2013",2013,2013,"Sheep Island","","coastal","Knox"
"15","020E","020",4918770,520460,"Yes",2001,"2013",2013,2013,"Mills Point","","coastal","Hancock"
"16","021E","021",4914864,525323,"Yes",2013,"2013",2013,2013,"Ram Island","","coastal","Hancock"
"17","022A","022",4910704,533612,"Yes",1978,"2013",2013,2013,"Carleton Island vicinity islet","","coastal","Hancock"
"18","023H","023",4886982,551290,"Yes",2013,"2013",2013,0,"Crow Island","No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Hancock"
"19","024D","024",4892253,550272,"Yes",2007,"2013",2013,2013,"Placentia Island","","coastal","Hancock"
"20","026F","026",4911617,553946,"Yes",2011,"2013",2013,2013,"Bar Island","","coastal","Hancock"
"21","027A","027",4910658,544129,"Yes",1978,"2013",2013,2013,"Bartlett Island - Western Point vicinity","","coastal","Hancock"
