"name","new_2015","nest_site","nest_area","intact_at_last_obs","year_last_monitored","year_last_intact","year_last_occupancy","year_first_monitored","site_name","comments","landscape","county","state","ifw_region","nest_evaluation_date","nest_tree_prominence","nest_comments","long_utm","lat_utm","long","lat"
"","","002F","002","Yes",2013,2013,2013,2000,"Lothrop Island","","interior","Androscoggin","ME","B","","supercanopy","",412260,4906670,-70.1000731093194,44.3079906030145
"","","003C","003","Yes",2014,2014,2014,2000,"Goodwin Island","","interior","Kennebec","ME","B","","supercanopy","",425194,4898910,-69.9368211617901,44.2395826511149
"","","004C","004","Yes",2014,2014,2014,2000,"Vaughn Brook upland","","coastal","Kennebec","ME","B","","dominant","",436616,4902570,-69.7942378023059,44.2736143049406
"","","005D","005","Yes",2014,2014,2014,2001,"Nehumkeag Island","","coastal","Kennebec","ME","B","","supercanopy","",439363,4890910,-69.7584705010296,44.1688808271495
"","","006B","006","Yes",2014,2014,2014,2009,"Bailey Corner vicinity shoreline","","coastal","Kennebec","ME","B","","dominant","",439961.622,4891874.983,-69.7510936092272,44.1776175139397
"","","007A","007","Yes",2014,2014,2013,1964,"Little Swan Island","","coastal","Sagadahoc","ME","B","6/8/1977","supercanopy","",436986,4880270,-69.7869276790521,44.0728933245027
"","","008B","008","Yes",2014,2014,2014,1964,"Swan Island - Shipyard Point vicinity","","coastal","Sagadahoc","ME","B","6/8/1977","dominant","",436418.838699,4877490,-69.7936753774897,44.047817238434
"","","009G","009","Yes",2014,2014,2014,2011,"Abagdasset Point vicinity","","coastal","Sagadahoc","ME","B","","dominant","",433841.808363,4872680.87505,-69.8252399757616,44.0042949574694
"","","010E","010","Yes",2013,2013,2013,1989,"Bald Head","","coastal","Sagadahoc","ME","B","","supercanopy","",431311,4870970,-69.8565835794262,43.9886604414048
"","","011I","011","Yes",2013,2013,2013,2003,"Thorne Island","","coastal","Sagadahoc","ME","B","","dominant","",434039,4867420,-69.8221266637853,43.9569510827414
"","","013G","013","Yes",2013,2013,2013,2007,"Tyler Islands","","coastal","Lincoln","ME","B","","dominant","",441020.887155,4859284.62525,-69.734211812939,43.8843021140506
"","","014E","014","Yes",2014,2014,2013,2008,"Damariscotta Mills vicinity","","interior","Lincoln","ME","B","","","",457451.6,4878902.863,-69.5312537928997,44.0620594179796
"","","016G","016","Yes",2013,2013,2013,2007,"Mark Island","","coastal","Knox","ME","B","","dominant","",501534.720886,4891356.61491,-68.980800993541,44.1754180353905
"","","017F","017","Yes",2013,2013,2013,2011,"Sheep Island","","coastal","Knox","ME","B","","dominant","",516454.539452,4891970.26509,-68.7941389150997,44.1807590032171
"","","020E","020","Yes",2013,2013,2013,2001,"Mills Point","","coastal","Hancock","ME","C","","supercanopy","",520460,4918770,-68.7429769644299,44.4219341899174
"","","021E","021","Yes",2013,2013,2013,2013,"Ram Island","","coastal","Hancock","ME","C","","dominant","",525323.362,4914864.7998,-68.6820736564888,44.3866229088197
"","","022A","022","Yes",2013,2013,2013,1978,"Carleton Island vicinity islet","","coastal","Hancock","ME","C","8/17/1979","dominant","",533612.221705,4910704.17127,-68.578281095124,44.3488290416085
"","","024D","024","Yes",2013,2013,2013,2007,"Placentia Island","","coastal","Hancock","ME","C","","dominant","",550272.061124,4892253.57386,-68.3710409694246,44.1817637755723
"","","026F","026","Yes",2013,2013,2013,2011,"Bar Island","","coastal","Hancock","ME","C","","dominant","",553946.802703,4911617.15587,-68.323071110353,44.3558212325788
