name,icon_color,icon_color_classic
Upper,#E41A1C,#7E6E85
,#9E425A,#974661
,#596A98,#4A72A6
Onawa,#3B87A2,#3E8E93
Branch,#449B75,#D16948
Cherryfield,#4DAF4A,#E41A1C
Madagascal,#6B886D,#974661
Crooked,#AC5782,#48A462
Folsom,#AC5782,#48A462
Musquash,#D56B41,#5D995D
Norway,#FF7F00,#E41A1C
Wilson,#FFB214,#A35390
Eskutassis,#FFE528,#FF7F00
Phillips,#EDDD30,#FFB716
Ellis,#C9992C,#FFF02D
Webb,#A65628,#E1C62F
Sandy,#C66764,#B97B2A
Sheepscot,#E678A0,#B75F49
Davis,#E485B7,#DB728C
Three,#BE8FA8,#EC83BA
Hebron,#999999,#C28EA9
