"nest_site","nest_area","site_name","intact_at_last_obs","year_last_monitored","year_last_intact","year_last_occupancy","year_first_monitored","comments","landscape","county","state","ifw_region","nest_evaluation_date","nest_tree_prominence","nest_comments","long_utm","lat_utm","long","lat"
"001A","001","Oak Island","No",2013,1982,2005,1963,"","interior","Kennebec","ME","B","8/9/1977","supercanopy","",433553,4930140,-69.8361421096658,44.5215240747923
"002A","002","Lothrop Island","No",2013,1972,2000,1969,"","interior","Androscoggin","ME","B","","dominant","Nest tree died and overall condition deteriorated notably during the years of eagle nesting activity.",412281,4906670,-70.0998098621334,44.3079931381655
"002B","002","Lothrop Island","No",2013,1991,1991,1990,"","interior","Androscoggin","ME","B","","","",412169,4906650,-70.1012104804422,44.3077995832135
"002C","002","Lothrop Island","No",2013,1993,1992,1992,"","interior","Androscoggin","ME","B","","","",412259,4906640,-70.1000806006565,44.3077204414678
"002D","002","Lothrop Island","No",2013,1997,1997,1993,"","interior","Androscoggin","ME","B","","","",412167,4906610,-70.1012288188848,44.3074392872007
"002E","002","Lothrop Island","No",2013,1999,1999,1998,"","interior","Androscoggin","ME","B","","","",412212,4906650,-70.1006714524069,44.307804778936
"002F","002","Lothrop Island","Yes",2013,2013,2013,2000,"","interior","Androscoggin","ME","B","","supercanopy","",412260,4906670,-70.1000731093194,44.3079906030145
"002G","002","Lothrop Island","No",2013,2003,2002,2002,"","interior","Androscoggin","ME","B","","dominant","",412223,4906630,-70.1005301973073,44.3076260804819
"003A","003","Undine Bay upland","No",2013,1974,1966,1965,"","interior","Kennebec","ME","B","7/25/1980","supercanopy","",422475,4898700,-69.9708362774973,44.2374079627564
"003B","003","Lovers Island","No",2013,1998,1999,1998,"","interior","Kennebec","ME","B","","dominant","",423476.431462,4899327.79774,-69.958388966642,44.2431651994065
"003C","003","Goodwin Island","Yes",2014,2014,2014,2000,"","interior","Kennebec","ME","B","","supercanopy","",425194,4898910,-69.9368211617901,44.2395826511149
"004A","004","Ashman Drive shoreline","No",2013,1979,1969,1969,"","coastal","Kennebec","ME","B","6/7/1977","supercanopy","",437344,4903150,-69.7851859296636,44.2788986545416
"004B","004","Vaughn Brook upland","No",2013,1999,1999,1999,"","coastal","Kennebec","ME","B","","dominant","",436657,4902860,-69.7937592409276,44.2762285163819
"004C","004","Vaughn Brook upland","Yes",2014,2014,2014,2000,"","coastal","Kennebec","ME","B","","dominant","",436616,4902570,-69.7942378023059,44.2736143049406
"005B","005","Nehumkeag Island","No",2014,1979,1974,1970,"","coastal","Kennebec","ME","B","","dominant","",439421,4890980,-69.7577531464579,44.1695158129883
"005C","005","Nehumkeag Island","No",2014,1963,NA,1962,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Kennebec","ME","B","","dominant","",439359,4890880,-69.7585170688505,44.1686104213991
"005D","005","Nehumkeag Island","Yes",2014,2014,2014,2001,"","coastal","Kennebec","ME","B","","supercanopy","",439363,4890910,-69.7584705010296,44.1688808271495
"006A","006","Nehumkeag Pond shoreline","No",2013,1976,1968,1962,"","coastal","Kennebec","ME","B","6/10/1977","dominant","",442656,4892090,-69.7174124878689,44.1797698410205
"006B","006","Bailey Corner vicinity shoreline","Yes",2014,2014,2014,2009,"","coastal","Kennebec","ME","B","","dominant","",439961.622,4891874.983,-69.7510936092272,44.1776175139397
"007A","007","Little Swan Island","Yes",2014,2014,2013,1964,"","coastal","Sagadahoc","ME","B","6/8/1977","supercanopy","",436986,4880270,-69.7869276790521,44.0728933245027
"007B","007","Swan Island upland","No",2013,1983,1969,1962,"","coastal","Sagadahoc","ME","B","6/9/1977","supercanopy","",436453,4879710,-69.7935158642253,44.067805868747
"007C","007","Swan Island","No",2013,1968,1968,1966,"","coastal","Sagadahoc","ME","B","","","",437126,4880170,-69.7851675989681,44.0720050976662
"007D","007","Little Swan Island","No",2014,1963,1963,1963,"","coastal","Sagadahoc","ME","B","","","",436251,4879430,-69.7960042293246,44.0652676135508
"008A","008","Swan Island - Big Pond vicinity","No",2013,1992,1984,1962,"","coastal","Sagadahoc","ME","B","6/8/1977","dominant","",435939,4877640,-69.7996827354907,44.0491258586531
"008B","008","Swan Island - Shipyard Point vicinity","Yes",2014,2014,2014,1964,"","coastal","Sagadahoc","ME","B","6/8/1977","dominant","",436418.838699,4877490,-69.7936753774897,44.047817238434
"008C","008","Kennebec River upland - Webbs Point vicinity","No",2013,1967,1963,1962,"","coastal","Lincoln","ME","B","","dominant","",437867,4876010,-69.7754260161342,44.0346175014071
"008D","008","Swan Island - Shipyard Point","No",2013,1968,1965,1965,"","coastal","Sagadahoc","ME","B","","","",436245.06627,4877249.50468,-69.7958153601298,44.0456370753785
"008E","008","Swan Island - Farm Ponds vicinity","No",2013,1989,1983,1983,"","coastal","Sagadahoc","ME","B","","","",436521.754884,4877815.92895,-69.7924299317917,44.0507603528386
"008F","008","Swan Island - Farm Ponds vicinity","No",2013,1992,1988,1985,"","coastal","Sagadahoc","ME","B","","","",436466.764643,4878004.31606,-69.7931389715172,44.0524515569094
"008G","008","Swan Island - Big Pond vicinity","No",2013,1989,1987,1986,"","coastal","Sagadahoc","ME","B","","","",435523,4876990,-69.8047959824951,44.0432377406618
"008H","008","Swan Island Point upland","No",2013,1995,1994,1991,"","coastal","Sagadahoc","ME","B","","","",434772,4876260,-69.8140789690196,44.0365994799266
"008I","008","Swan Island Point vicinity","No",2013,1995,NA,1995,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Sagadahoc","ME","B","","","",435132,4876180,-69.8095766230528,44.0359111984554
"008J","008","Swan Island - Shipyard Point vicinity","Yes",2013,2013,2010,2008,"","coastal","Sagadahoc","ME","B","","dominant","",436398.723891,4877455.38165,-69.7939222811476,44.0475038399691
"008K","008","Swan Island - Farm Ponds vicinity","No",2013,2012,NA,2012,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Sagadahoc","ME","B","","dominant","",436527.250244,4877830.94063,-69.7923631388951,44.0508959722423
"009A","009","Twings Point Road shoreline","No",2013,1978,1990,1964,"","coastal","Sagadahoc","ME","B","6/3/1977","supercanopy","Nest tree leader was alive when first used, but it died during the years of eagle nesting activity.",435300,4874830,-69.8073151313289,44.0237725693955
"009B","009","Abagdasset Point","No",2014,1979,1977,1962,"","coastal","Sagadahoc","ME","B","5/31/1977","supercanopy","",433972.259624,4872804.2389,-69.8236282943685,44.0054172894912
"009C","009","Twings Point Road shoreline","No",2013,1968,1963,1963,"","coastal","Sagadahoc","ME","B","","dominant","",435209,4874650,-69.8084284788315,44.0221440775371
"009D","009","Chops Creek upland","No",2013,1970,1970,1968,"","coastal","Sagadahoc","ME","B","","dominant","",436420,4874320,-69.7932800809027,44.019279123078
"009E","009","Abagdasset Point","No",2014,2010,2010,2001,"","coastal","Sagadahoc","ME","B","","dominant","",433857.47085,4872719.07933,-69.8250493931836,44.0046403048929
"009F","009","Abagdasset Point vicinity","No",2014,2008,NA,2001,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Sagadahoc","ME","B","","dominant","",433407.975,4873081.654,-69.8307012919631,44.0078637803338
"009G","009","Abagdasset Point vicinity","Yes",2014,2014,2014,2011,"","coastal","Sagadahoc","ME","B","","dominant","",433841.808363,4872680.87505,-69.8252399757616,44.0042949574694
"010A","010","Bald Head","No",2013,1976,1979,1963,"","coastal","Sagadahoc","ME","B","5/31/1977","dominant","",431340,4871070,-69.8562349186344,43.9895634037858
"010B","010","Bald Head","No",2013,1968,1965,1962,"","coastal","Sagadahoc","ME","B","","dominant","",431326,4871020,-69.8564030157383,43.9891119694668
"010E","010","Bald Head","Yes",2013,2013,2013,1989,"","coastal","Sagadahoc","ME","B","","supercanopy","",431311,4870970,-69.8565835794262,43.9886604414048
"011A","011","Crawford Island","No",2013,1999,1996,1966,"","coastal","Sagadahoc","ME","A","6/14/1977","dominant","",433322.093682,4866804.14097,-69.8309838694907,43.9513420949197
"011D","011","Crawford Island","No",2013,1983,NA,1980,"No documented occupancy by eagles during surveys conducted through 2013 at this nest.","coastal","Sagadahoc","ME","A","","dominant","",433355,4866870,-69.8305820697349,43.951937981442
"011E","011","Thorne Island","No",2013,1990,1990,1990,"","coastal","Sagadahoc","ME","B","","dominant","",434042,4867290,-69.8220731400637,43.9557810071942
"011F","011","Thorne Island","No",2013,1995,1993,1992,"","coastal","Sagadahoc","ME","B","","dominant","",434089.29691,4867423.32705,-69.8215002481079,43.9569855434399
"011G","011","Thorne Island","No",2013,2007,2007,1994,"","coastal","Sagadahoc","ME","B","","dominant","",434031,4867560,-69.8222437455292,43.958210736073
"011H","011","Little Lines Island","Yes",2013,2013,2008,2000,"","coastal","Sagadahoc","ME","B","","dominant","",433819,4867610,-69.8248920906132,43.9586418242915
"011I","011","Thorne Island","Yes",2013,2013,2013,2003,"","coastal","Sagadahoc","ME","B","","dominant","",434039,4867420,-69.8221266637853,43.9569510827414
"012A","012","Middle Road shoreline","No",2013,1980,1976,1972,"","coastal","Sagadahoc","ME","B","4/11/1980","dominant","",437276,4867320,-69.7817732538635,43.9563339518657
"012B","012","Loon Lane vicinity shoreline","No",2013,1975,1968,1968,"","coastal","Sagadahoc","ME","B","","dominant","",438546,4866650,-69.7658682930821,43.9504092857285
"013C","013","Hockomock Point vicinity","No",2013,1998,1997,1978,"","coastal","Sagadahoc","ME","B","7/18/1978","supercanopy","",439217,4860990,-69.7568603327356,43.8995089459008
"013D","013","Lower Hell Gate vicinity","No",2013,1964,1964,1962,"","coastal","Sagadahoc","ME","B","","dominant","",437853,4860460,-69.7737813363871,43.89462368829
"013E","013","Hockomock Point vicinity","No",2013,1991,1995,1990,"","coastal","Sagadahoc","ME","B","","dominant","",439135.851155,4861060.58317,-69.7578787589426,43.9001377010711
