name,nest_site,nest_area,year,eagle_id,use_start_date,use_end_date,clutch_initiation,breeding_end_date
Three,205R01,205,2015,Three,20150101,20151231,,
Ellis,282A,282,2015,Ellis,20150101,20151231,,
Ellis,282A,282,2016,Ellis,20160101,20161231,,
Ellis,282A,282,2017,Ellis,20170101,20171231,,
Branch,327A,327,2015,Branch,20150101,20151231,,
Sandy,423R01,423,2015,Sandy,20150101,20151231,,
Sandy,423R01,423,2016,Sandy,20160101,20161231,,
Sandy,423R01,423,2017,Sandy,20170101,20171231,,
Sandy,423R02,423,2018,Sandy,20180101,20181231,,
Sandy,423R02,423,2019,Sandy,20190101,20191231,,
Wilson,434R01,434,2015,Wilson,20150101,20151231,,
Musquash,446A,446,2015,Musquash,20150101,20151231,,
Musquash,446R01,446,2016,Musquash,20160101,20161231,,
Musquash,446R01,446,2017,Musquash,20170101,20171231,,
Musquash,446R01,446,2018,Musquash,20180101,20181231,,
Phillips,456A,456,2015,Phillips,20150101,20151231,,
Webb,519B,519,2015,Webb,20150101,20151231,,
Folsom,619A,619,2013,Folsom,20130101,20131231,,
Folsom,619A,619,2014,Folsom,20140101,20141231,,
Crooked,619A,619,2015,Crooked,20150501,20151231,,
Madagascal,620B,620,2013,Madagascal,20130101,20131231,,
Eskutassis,629A,629,2015,Eskutassis,20150101,20151231,,
Eskutassis,629A,629,2016,Eskutassis,20160101,20161231,,
Hebron,659A,659,2015,Hebron,20150101,20151231,,
Hebron,659A,659,2016,Hebron,20160101,20161201,,
Norway,667A,667,2015,Norway,20150101,20151231,,
Onawa,722A,722,2015,Onawa,20150101,20160501,,
Sheepscot,731R01,731,2015,Sheepscot,20150101,20160501,,
Davis,698A,698,2015,Davis,20150101,20160501,,
