"","dates.QC","Field1","Plot.QA.QC","ObsID","SignProtection.","Landowner","PK_NestSite","IntactDuringLastYearObs.","FK_NestArea","NestSiteName","YearLastMonitored","YearLastNestIntact","YearLastEagleOccupancy","YearFirstMonitored","HistoryComments","LandscapeHabitat","EH","FK_Geocode","County","IFWRegion","State.Province","Species","DBH","DateSiteEvaluation","TreeCondition","NestTreeStandProminence","NestTreeComments","Former.MDIFW.nest..","EO.Code....","Former.USFWS.nest..","Former.NAS.nest..","Comments.nest...change","Former.USFWS.nest..1","Former.NAS.nest..1","Comments.nest...change1","Former.USFWS.nest..11","Former.NAS.nest..11","Comments.nest...change11","Edits.","nest_id","OBJECTID","PointID","Accuracy","Type","ObsID_1","EO_ID","Year","Month","Day","TimeStart","TimeEnd","UseID","ExtDB","ExtDBID","ExtJoinFie","ExtJoinVal","POINT_X","POINT_Y"
"1",TRUE,NA,TRUE,1614,"","","001A","No",1,"Oak Island",2013,1982,2005,1963,"","interior","BE001A",11030,"Kennebec","B","ME","eastern white pine",83.8,"8/9/1977","alive - top intact","supercanopy","","","ABNKC10010-055","84 (1972 - 1973); 1 (1974 - 1976)","KE-3 (< 1971)","",NA,NA,NA,NA,NA,NA,"","001A",3026,"Point_1614",12,"Animal Location",1614,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","001A",433553,4930140
"2",TRUE,NA,TRUE,1615,"","","002A","No",2,"Lothrop Island",2013,1972,2000,1969,"","interior","BE002A",1040,"Androscoggin","B","ME","eastern white pine",NA,"","alive - top intact","dominant","Nest tree died and overall condition deteriorated notably during the years of eagle nesting activity.","","ABNKC10010-056","44 (1972 - 1973); 2 (1974 - 1976)","AN-1 (< 1971)","",NA,NA,NA,NA,NA,NA,"","002A",3337,"Point_1615",12,"Animal Location",1615,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","002A",412281,4906670
"3",TRUE,NA,TRUE,1564,"","","002B","No",2,"Lothrop Island",2013,1991,1991,1990,"","interior","BE002B",1040,"Androscoggin","B","ME","eastern white pine",NA,"","alive - top broken","","","","ABNKC10010-005","","","",NA,NA,NA,NA,NA,NA,"","002B",3338,"Point_1564",12,"Animal Location",1564,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","002B",412169,4906650
"4",TRUE,NA,TRUE,2023,"","","002C","No",2,"Lothrop Island",2013,1993,1992,1992,"","interior","BE002C",1040,"Androscoggin","B","ME","eastern white pine",NA,"","alive - top intact","","","","ABNKC10010-464","","","",NA,NA,NA,NA,NA,NA,"","002C",3339,"Point_2023",12,"Animal Location",2023,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","002C",412259,4906640
"5",TRUE,NA,TRUE,2059,"","","002D","No",2,"Lothrop Island",2013,1997,1997,1993,"","interior","BE002D",1040,"Androscoggin","B","ME","eastern white pine",NA,"","alive - top intact","","","","ABNKC10010-500","","","",NA,NA,NA,NA,NA,NA,"","002D",3340,"Point_2059",12,"Animal Location",2059,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","002D",412167,4906610
"6",TRUE,NA,TRUE,2235,"","","002E","No",2,"Lothrop Island",2013,1999,1999,1998,"","interior","BE002E",1040,"Androscoggin","B","ME","eastern white pine",NA,"","alive - top intact","","","","ABNKC10010-676","","","",NA,NA,NA,NA,NA,NA,"","002E",3341,"Point_2235",12,"Animal Location",2235,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","002E",412212,4906650
"7",TRUE,NA,TRUE,2309,"","","002F","Yes",2,"Lothrop Island",2013,2013,2013,2000,"","interior","BE002F",1040,"Androscoggin","B","ME","eastern white pine",NA,"","alive - top intact","supercanopy","","","ABNKC10010-750","","","",NA,NA,NA,NA,NA,NA,"","002F",3342,"Point_2309",12,"Animal Location",2309,6332,0,0,0,NA,NA,"ER",-1,5,"[NestSites].[PK_Nest]","002F",412260,4906670
"8",TRUE,NA,TRUE,4074,"","","002G","No",2,"Lothrop Island",2013,2003,2002,2002,"","interior","BE002G",1040,"Androscoggin","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","","","","",NA,NA,NA,NA,NA,NA,"","002G",3343,"Point_4206",12,"Animal Location",4074,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","002G",412223,4906630
"9",TRUE,NA,TRUE,1570,"","","003A","No",3,"Undine Bay upland",2013,1974,1966,1965,"","interior","BE003A",11140,"Kennebec","B","ME","eastern white pine",84.3,"7/25/1980","dead - top intact","supercanopy","","","ABNKC10010-011","40A (1972 - 1973); 3 (1974 - 1976)","KE-4 (< 1971)","",NA,NA,NA,NA,NA,NA,"","003A",2998,"Point_1570",12,"Animal Location",1570,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","003A",422475,4898700
"10",TRUE,NA,TRUE,2236,"","","003B","No",3,"Lovers Island",2013,1998,1999,1998,"","interior","BE003B",11140,"Kennebec","B","ME","eastern white pine",NA,"","alive - top intact","dominant","","","ABNKC10010-677","","","",NA,NA,NA,NA,NA,NA,"","003B",4128,"Point_2236",12,"Animal Location",2236,-1,0,0,0,NA,NA,"IO",-1,5,"[NestSites].[PK_Nest]","003B",423476.431462,4899327.79774
