name,new_2015,new_2016,nest_site,nest_area,long_utm,lat_utm,long,lat,intact_at_last_obs,year_last_monitored,year_last_intact,year_last_occupancy,year_first_monitored,Notes
Three,Yes,,205R01,205,558197,5018454,-68.25749454,45.31717834,Yes,2015,2015,2015,2015,
Ellis,No,,282A,282,367667,4946617,-70.66920213,44.66072037,Yes,2016,2016,2016,1998,
Branch,No,,327A,327,533356,4940721,-68.57955927,44.61906743,Yes,2015,2015,2015,2001,
Sandy,Yes,,423R01,423,474839,4928301,-69.316541,44.50759,Yes,2016,2016,2016,2015,20170325: Slightly tweaked coordinates to match better with GPS location data
Wilson,Yes,,434R01,434,461047,5037798,-69.49852193,45.49262483,Yes,2015,2015,2015,2015,
Musquash,No,,446A,446,593808,5030802,-67.800887,45.424446,Yes,2015,2015,2015,2004,
Musquash,No,Yes,446R01,446,596196,5028554,-67.770808,45.403891,Yes,2016,2016,2016,2016,20170325: Created new nest site based on GPS location data
Phillips,No,,456A,456,531940,4948416,-68.59692745,44.68840407,Yes,2015,2015,2015,2005,
Webb,No,,519B,519,384347,4952305,-70.46017057,44.71478788,Yes,2015,2015,2014,2013,
Crooked,No,,619A,619,542920,5022431,-68.45205021,45.35407601,Yes,2015,2015,2013,2009,
Madagascal,No,,620B,620,550435,5015512,-68.35681865,45.2912986,Yes,2015,2015,2013,2013,
Eskutassis,No,,629A,629,542758,5011724,-68.45504255,45.25771184,Yes,2015,2015,2015,2009,
Hebron,No,,659A,659,458034,5014408,-69.535282,45.281963,Yes,2016,2015,2016,2011,20170325: Slightly tweaked coordinates to match better with GPS location data
Norway,No,,667A,667,371811,4900893,-70.60563404,44.24999181,Yes,2015,2015,2015,2011,
Onawa,No,,722A,722,469415,5026664,-69.39073839,45.39282469,Yes,2015,2015,2015,2013,
Sheepscot,Yes,,731R01,731,466486,4912166,-69.420584,44.361993,Yes,2015,2015,2015,2015,
Upper,Yes,,468R01,468,546045,5018422,-68.412534,45.317793,Yes,2015,2016,2015,2015,
Davis,No,,698A,698,467584,5010045,-69.41304379,45.24315341,Yes,2013,2016,2013,2013,
