project,project_num,name,faa_lit,long,lat,pad_elv_ft,strc_ht_ft,tot_elv_ft,model,hub_ht_m,airport,latitude,longitude
Bull Hill,1,1,NA,-68.16708766,44.69279411,,0,0,Vestas V100 1.8MW,95,,"44° 41' 34.059"" N","68° 10' 1.516"" W"
Bull Hill,1,2,NA,-68.16399144,44.69393674,,0,0,Vestas V100 1.8MW,95,,"44° 41' 38.172"" N","68° 9' 50.369"" W"
Bull Hill,1,3,NA,-68.1608739,44.69505595,,0,0,Vestas V100 1.8MW,95,,"44° 41' 42.201"" N","68° 9' 39.146"" W"
Bull Hill,1,4,NA,-68.15802512,44.69608972,,0,0,Vestas V100 1.8MW,95,,"44° 41' 45.923"" N","68° 9' 28.890"" W"
Bull Hill,1,5,NA,-68.15393037,44.69729607,,0,0,Vestas V100 1.8MW,95,,"44° 41' 50.266"" N","68° 9' 14.149"" W"
Bull Hill,1,6,NA,-68.15372976,44.7018386,,0,0,Vestas V100 1.8MW,95,,"44° 42' 6.619"" N","68° 9' 13.427"" W"
Bull Hill,1,7,NA,-68.15299132,44.70661852,,0,0,Vestas V100 1.8MW,95,,"44° 42' 23.827"" N","68° 9' 10.769"" W"
Bull Hill,1,8,NA,-68.15170709,44.71114228,,0,0,Vestas V100 1.8MW,95,,"44° 42' 40.112"" N","68° 9' 6.146"" W"
Bull Hill,1,9,NA,-68.15137673,44.71609654,,0,0,Vestas V100 1.8MW,95,,"44° 42' 57.948"" N","68° 9' 4.956"" W"
Bull Hill,1,10,NA,-68.17466671,44.72567357,,0,0,Vestas V100 1.8MW,95,,"44° 43' 32.425"" N","68° 10' 28.800"" W"
Bull Hill,1,11,NA,-68.17136918,44.72702407,,0,0,Vestas V100 1.8MW,95,,"44° 43' 37.287"" N","68° 10' 16.929"" W"
Bull Hill,1,12,NA,-68.16835917,44.72827873,,0,0,Vestas V100 1.8MW,95,,"44° 43' 41.803"" N","68° 10' 6.093"" W"
Bull Hill,1,13,NA,-68.16553607,44.72957788,,0,0,Vestas V100 1.8MW,95,,"44° 43' 46.480"" N","68° 9' 55.930"" W"
Bull Hill,1,14,NA,-68.16231204,44.7308038,,0,0,Vestas V100 1.8MW,95,,"44° 43' 50.894"" N","68° 9' 44.323"" W"
Bull Hill,1,15,NA,-68.15950758,44.73190029,,0,0,Vestas V100 1.8MW,95,,"44° 43' 54.841"" N","68° 9' 34.227"" W"
Bull Hill,1,16,NA,-68.15656304,44.73298248,,0,0,Vestas V100 1.8MW,95,,"44° 43' 58.737"" N","68° 9' 23.627"" W"
Bull Hill,1,17,NA,-68.15380987,44.73414132,,0,0,Vestas V100 1.8MW,95,,"44° 44' 2.909"" N","68° 9' 13.716"" W"
