developer,project,turbine_id,model,hub_ht_m,rotor_diam,rotor_top,rotor_btm,pad_elev_m,sweep_top,sweep_btm,long,lat
First Wind,Bull Hill,1,Vestas V100 1.8MW,95,100,145,45,171,316,216,-68.16708766,44.69279411
First Wind,Bull Hill,2,Vestas V100 1.8MW,95,100,145,45,173,318,218,-68.16399144,44.69393674
First Wind,Bull Hill,3,Vestas V100 1.8MW,95,100,145,45,160,305,205,-68.1608739,44.69505595
First Wind,Bull Hill,4,Vestas V100 1.8MW,95,100,145,45,147,292,192,-68.15802512,44.69608972
First Wind,Bull Hill,5,Vestas V100 1.8MW,95,100,145,45,134,279,179,-68.15393037,44.69729607
First Wind,Bull Hill,6,Vestas V100 1.8MW,95,100,145,45,141,286,186,-68.15372976,44.7018386
First Wind,Bull Hill,7,Vestas V100 1.8MW,95,100,145,45,134,279,179,-68.15299132,44.70661852
First Wind,Bull Hill,8,Vestas V100 1.8MW,95,100,145,45,118,263,163,-68.15170709,44.71114228
First Wind,Bull Hill,9,Vestas V100 1.8MW,95,100,145,45,127,272,172,-68.15137673,44.71609654
First Wind,Bull Hill,10,Vestas V100 1.8MW,95,100,145,45,169,314,214,-68.17466671,44.72567357
First Wind,Bull Hill,11,Vestas V100 1.8MW,95,100,145,45,186,331,231,-68.17136918,44.72702407
First Wind,Bull Hill,12,Vestas V100 1.8MW,95,100,145,45,173,318,218,-68.16835917,44.72827873
First Wind,Bull Hill,13,Vestas V100 1.8MW,95,100,145,45,163,308,208,-68.16553607,44.72957788
First Wind,Bull Hill,14,Vestas V100 1.8MW,95,100,145,45,167,312,212,-68.16231204,44.7308038
First Wind,Bull Hill,15,Vestas V100 1.8MW,95,100,145,45,171,316,216,-68.15950758,44.73190029
First Wind,Bull Hill,16,Vestas V100 1.8MW,95,100,145,45,153,298,198,-68.15656304,44.73298248
First Wind,Bull Hill,17,Vestas V100 1.8MW,95,100,145,45,151,296,196,-68.15380987,44.73414132
First Wind,Bull Hill,18,Vestas V100 1.8MW,95,100,145,45,153,298,198,-68.15102984,44.73527151
First Wind,Bull Hill,19,Vestas V100 1.8MW,95,100,145,45,137,282,182,-68.14812229,44.73628634
First Wind,Mars Hill,1,GE SLE 1.5MW,80,77,119,42,202,321,244,-67.80761048,46.56789866
First Wind,Mars Hill,2,GE SLE 1.5MW,80,77,119,42,218,336,259,-67.80762146,46.56620686
