Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,32.63    ,    0.681,    0.571,    0.417,    0.524,    0.120,    0.023
005-014  ,         ,    0.394,    0.435,    0.438,    0.527,    0.091,    0.012
015-024  ,         ,    0.434,    0.493,    0.466,    0.502,    0.072,    0.006
025-034  ,         ,    0.463,    0.528,    0.465,    0.442,    0.054,    0.003
035-044  ,         ,    0.519,    0.601,    0.434,    0.396,    0.040,    0.003
045-054  ,         ,    0.548,    0.670,    0.498,    0.450,    0.058,    0.004
055-064  ,         ,    0.548,    0.595,    0.414,    0.374,    0.057,    0.008
065-074  ,         ,    0.559,    0.477,    0.321,    0.248,    0.038,    0.002
075-084  ,         ,    0.645,    0.429,    0.241,    0.196,    0.027,    0.004
085-094  ,         ,    0.727,    0.467,    0.245,    0.153,    0.016,    0.001
095-104  ,         ,    0.740,    0.442,    0.188,    0.106,    0.010,    0.002
105-114  ,         ,    0.764,    0.401,    0.188,    0.095,    0.013,    0.004
115-124  ,         ,    0.807,    0.356,    0.149,    0.086,    0.015,    0.004
125-134  ,         ,    0.707,    0.340,    0.152,    0.085,    0.005,    0.001
135-144  ,         ,    0.468,    0.200,    0.115,    0.047,    0.005,    0.001
145-154  ,         ,    0.471,    0.222,    0.170,    0.086,    0.006,    0.000
155-164  ,         ,    0.647,    0.355,    0.303,    0.153,    0.011,    0.001
165-174  ,         ,    0.528,    0.385,    0.399,    0.190,    0.010,    0.001
175-184  ,         ,    0.363,    0.297,    0.354,    0.154,    0.008,    0.001
185-194  ,         ,    0.203,    0.138,    0.234,    0.088,    0.001,    0.000
195-204  ,         ,    0.111,    0.069,    0.160,    0.058,    0.002,    0.000
205-214  ,         ,    0.086,    0.071,    0.148,    0.041,    0.001,    0.000
215-224  ,         ,    0.081,    0.061,    0.130,    0.042,    0.000,    0.000
225-234  ,         ,    0.118,    0.072,    0.114,    0.029,    0.000,    0.000
235-244  ,         ,    0.162,    0.087,    0.085,    0.030,    0.002,    0.000
245-254  ,         ,    0.225,    0.135,    0.131,    0.058,    0.004,    0.000
255-264  ,         ,    0.338,    0.331,    0.320,    0.286,    0.032,    0.004
265-274  ,         ,    0.497,    0.583,    0.656,    0.725,    0.110,    0.028
275-284  ,         ,    0.670,    0.835,    0.996,    1.439,    0.311,    0.077
285-294  ,         ,    0.840,    1.044,    1.338,    2.553,    0.762,    0.200
295-304  ,         ,    1.033,    1.032,    1.254,    2.446,    0.757,    0.250
305-314  ,         ,    0.917,    0.792,    0.771,    1.314,    0.389,    0.159
315-324  ,         ,    0.769,    0.487,    0.387,    0.533,    0.138,    0.038
325-334  ,         ,    0.543,    0.389,    0.294,    0.386,    0.094,    0.028
335-344  ,         ,    0.396,    0.345,    0.313,    0.508,    0.117,    0.029
345-354  ,         ,    0.341,    0.339,    0.348,    0.547,    0.125,    0.030
