"","behavior_behavior","behavior","behavior_next","count.x","min_step","max_step","weibull_shape","weibull_scale","count.y","mvm_mu1","mvm_mu2","mvm_kappa1","mvm_kappa2","mvm_prop"
"1","Cruise -> Cruise","Cruise","Cruise",646,14806.2376720084,144.138821973818,1.64260632881377,4397.43789030379,646,0.297458854719806,3.55477093856394,1.91744347204879,1.74200755977679,0.440190188245076
"2","Cruise -> Flight","Cruise","Flight",316,13850.9616272662,87.6584280032445,1.62439589712941,4251.01909152591,316,3.28145814918201,6.18122398387649,13.1304554506453,0.573770647795573,0.248462297025999
"3","Cruise -> Nest","Cruise","Nest",86,8879.72533359,95.4829827770373,1.3566115357269,3228.46563011095,88,2.76688213076842,6.2282151939974,0.671489294565076,6.56140849431159,0.704026360971346
"4","Cruise -> Perch","Cruise","Perch",354,11022.1715192606,54,1.30717646311687,3135.05440581009,354,3.10464255407241,6.28318514466036,5.70008980759473,0.842394528839171,0.276199311560594
"5","Flight -> Cruise","Flight","Cruise",401,11166.4453162141,86.2844134244419,1.75292727597187,3746.30057138194,401,2.96550604455779,5.94662687388504,6.62092794138407,0.824960165821631,0.21022961797298
"6","Flight -> Flight","Flight","Flight",463,10654.7641926042,42.4499705535822,1.27700373829722,2817.74088936724,463,3.20140755344908,6.28318496585364,0.660272789136454,3.67258224435985,0.630415810326522
"7","Flight -> Nest","Flight","Nest",343,8858.19168905257,43.0464865000618,0.922882082975176,1882.18180744764,344,3.13832889481055,6.28318097878858,6.42120287430956,1.65885636086104,0.289720278525846
"8","Flight -> Perch","Flight","Perch",1169,10159.5774026285,42.7200187265877,0.930563464962206,1203.58969916173,1169,3.14110877232975,6.24872735375021,39.7126283037551,0.70790447681095,0.126574397192027
"9","Flight -> Roost","Flight","Roost",21,1825.50486167526,71.028163428319,0.941899041051805,495.898022257943,24,0.52258522491871,3.10158869823255,3.19030516701172,7.62409443659473,0.503355550327951
"10","Nest -> Cruise","Nest","Cruise",66,5006.03965226006,137.306227098409,1.59253642880066,2061.89394332036,67,3.53650252534717,5.60092974108554,0.593065543038053,4.73529574751959,0.782678967184561
"11","Nest -> Flight","Nest","Flight",287,8245.50914134476,45.3541618817943,0.842884826217091,1107.5753092084,288,3.21307820469855,6.21930053617036,14.7449687924534,0.426312342043138,0.124283402489748
"12","Nest -> Perch","Nest","Perch",1343,5231.53400065411,42.4381903478459,0.862669794954012,396.526203341293,1343,3.76625450366612,6.28318463712674,0.0495151262805736,99.9994277134987,0.982595219206783
"13","Nest -> Roost","Nest","Roost",53,1452.63897786064,43,1.17398626754553,171.244454097068,55,3.24657447205643,6.28318527665551,99.9831621927308,0.371123950545566,0.204096827900046
"14","Perch -> Cruise","Perch","Cruise",268,7250.87043050695,67.1192967781993,1.42874493420931,1770.47166377522,268,3.67086640115682,6.28318246947005,0.735834818993077,1.06733030133378,0.635812410064887
"15","Perch -> Flight","Perch","Flight",1251,9393.48375204855,42.4499705535822,1.04177593638561,1237.34812912398,1251,3.11106186158921,6.28318484503398,0.160679026236731,4.60375068855626,0.935193596230878
"16","Perch -> Nest","Perch","Nest",1315,8214.18346520213,42.5440947723653,0.833894236875658,527.104966850673,1315,3.17136354954999,3.55546167063317,54.4773300337921,0.100613980467316,0.170887552044891
"17","Perch -> Roost","Perch","Roost",255,2798.76294101519,42.7200187265877,0.956143121899482,323.26578501042,255,3.07717989721418,6.10235728943063,44.6735178241725,2.20615256625219e-07,0.160640772430041
"18","Roost -> Flight","Roost","Flight",46,2817.08004856092,49.2442890089805,0.970674986776223,627.943656455926,49,1.86944082353802,3.77761332790405,21.8294437268396,0.405853521326272,0.205182906667384
"19","Roost -> Nest","Roost","Nest",41,2558.83801753843,43.5660418215839,0.76647295588857,278.431094374654,43,3.14301133183421,5.98257265998055,23.5060032195746,2.35185325897536e-08,0.521085207754355
"20","Roost -> Perch","Roost","Perch",267,3134.68355659706,44.9110231457712,0.963027926487894,559.862471635054,267,1.92751836070319,3.76414489940193,0.148349415837534,99.9990218005814,0.951431226068539
