"","behavior","behavior_next","behavior_behavior","count","min_step","max_step","weibull_shape","weibull_scale","wrp_cauchy_mu_rad","wrp_cauchy_mu_deg","wrp_cauchy_rho"
"1","Cruise","Cruise","Cruise -> Cruise",2000,14806.2376720084,25.2388589282479,1.77026810526547,4999.51551846507,2.85524180981988,163.593305191974,0.00717255245842748
"2","Cruise","Flight","Cruise -> Flight",2000,13850.9616272662,87.6584280032445,1.6670031886806,4739.986666458,2.40078437718116,137.554812333424,0.0592982665717056
"3","Cruise","Nest","Cruise -> Nest",2000,8879.72533359,95.4829827770373,1.31457967059615,3202.76984998677,1.09513124494261,62.7463983481193,0.0911629051157654
"4","Cruise","Perch","Cruise -> Perch",2000,11022.1715192606,39.560080889705,1.37803525908859,3074.84369389861,1.02582180176969,58.7752597739089,0.0569271084186965
"5","Cruise","Roost","Cruise -> Roost",2000,1539.67691416089,74.3303437365925,0.749163507540876,480.731863094112,3.00132260413258,171.96311817401,0.839735734866216
"6","Flight","Cruise","Flight -> Cruise",2000,11166.4453162141,29.9666481275434,1.63887221523413,3640.95071423986,3.68289877290532,211.014556061384,0.0412062452227171
"7","Flight","Flight","Flight -> Flight",2000,10654.7641926042,9.89949493661167,1.25219677185537,3045.03583424101,6.21797480465372,356.263713425341,0.174359719592808
"8","Flight","Nest","Flight -> Nest",2000,8858.19168905257,25.0199920063936,0.907770659994927,1419.78321072979,5.98103327218403,342.687963623466,0.0316772329011292
"9","Flight","Perch","Flight -> Perch",2000,10159.5774026285,8.06225774829855,0.905214649917433,1131.47252381976,6.18729662916131,354.505983446464,0.204590666929967
"10","Flight","Roost","Flight -> Roost",2000,1825.50486167526,70.7672240518165,0.901759558713031,462.396985478924,3.0065801133653,172.264351263796,0.260793523378978
"11","Nest","Cruise","Nest -> Cruise",2000,5006.03965226006,137.306227098409,1.52332771233523,2049.32151936866,5.23863477806298,300.151663193461,0.125866690294675
"12","Nest","Flight","Nest -> Flight",2000,8245.50914134476,18.2482875908947,0.90860586193856,1245.12319806187,2.96528658265807,169.898406233078,0.0390496396435404
"13","Nest","Nest","Nest -> Nest",1990,77.8203058333749,1,1.28451678645612,15.0160171967003,3.16827543412327,181.528810710242,0.374009337384435
"14","Nest","Perch","Nest -> Perch",2000,5231.53400065411,2,0.712879717954391,317.939471509087,3.2673227145192,187.203801849178,0.0863356430115172
"15","Nest","Roost","Nest -> Roost",2000,1452.63897786064,1.4142135623731,0.793195352967759,45.6850075757896,3.1798572512034,182.192399948026,0.320784767822909
"16","Perch","Cruise","Perch -> Cruise",2000,7250.87043050695,15.0332963783729,1.3735290702647,1939.52166124979,4.59811936002753,263.452833026973,0.0799143448468311
"17","Perch","Flight","Perch -> Flight",2000,9393.48375204855,3,0.944570320632686,1099.28755093825,2.88367854023405,165.222609827857,0.0284050991227541
"18","Perch","Nest","Perch -> Nest",2000,8214.18346520213,2.23606797749979,0.687061246209171,450.932144203951,3.18133129942491,182.276856689918,0.269770233875511
"19","Perch","Perch","Perch -> Perch",1992,5331.00084411924,1,0.47679441391887,58.882503493298,3.06298729742719,175.49624484476,0.219523890599172
"20","Perch","Roost","Perch -> Roost",2000,2798.76294101519,4.47213595499958,0.844668543402189,329.536063947749,3.09497245017219,177.32885910413,0.182417503336374
"21","Roost","Cruise","Roost -> Cruise",2000,95.5091618641898,53.0754180388624,4.05770450350982,82.0795104193739,1.18526205908993,67.9105136028386,0.999999765809896
"22","Roost","Flight","Roost -> Flight",2000,2817.08004856092,49.2442890089805,1.1121645681413,784.319816882601,3.08943189102178,177.011408448669,0.127110812841557
"23","Roost","Nest","Roost -> Nest",2000,2558.83801753843,3.16227766016838,0.589849337422873,58.8319309592281,3.08328246251454,176.659072148786,0.419144231056902
"24","Roost","Perch","Roost -> Perch",2000,3134.68355659706,4.24264068711928,0.957411978811678,597.163536690987,2.00712108107444,114.999566917301,0.073084656375107
"25","Roost","Roost","Roost -> Roost",1994,84.3445315358382,1,1.41086143157412,16.0676832440493,3.20434996627309,183.595729150336,0.345179093722796
