"","behavior_behavior","behavior","behavior_next","min_step","max_step","weibull_shape","weibull_scale","mvm_mu1","mvm_mu2","mvm_kappa1","mvm_kappa2","mvm_prop","behavior_fac","behavior_next_fac","bern_p"
"1","Cruise -> Cruise","Cruise","Cruise",144.138821973818,14806.2376720084,1.64423032919032,4417.30815117964,0.356001501517981,4.28110651533619,99.947506442879,0.464095203708388,0.118587525033203,"Cruise","Cruise",NA
"2","Cruise -> Flight","Cruise","Flight",87.6584280032445,13850.9616272662,1.55145623977521,4255.4196464733,3.15820530368735,5.03975669624456,99.9997695448931,0.183557384032536,0.133517638732694,"Cruise","Flight",NA
"3","Cruise -> Perch","Cruise","Perch",54,11022.1715192606,1.43306988721188,3184.15212855345,3.22487070094262,6.28318530300592,28.7291955592604,0.281080218501564,0.189454730676382,"Cruise","Perch",NA
"4","Flight -> Cruise","Flight","Cruise",86.2844134244419,14529.1440215864,1.54557448575983,3803.32197380293,1.34753398518883,5.97951787662884,3.64910037670161e-07,6.17295632213317,0.833075551335474,"Flight","Cruise",NA
"5","Flight -> Flight","Flight","Flight",42.4499705535822,11375.7754021429,1.15884825928672,2637.52146017748,4.33917828399357,6.24368356346592,11.3973444657287,0.0138567281761778,6.93335299658059e-08,"Flight","Flight",NA
"6","Flight -> Perch","Flight","Perch",42.9534631898291,10159.5774026285,0.863317502341632,1150.36961435756,5.80682752209118,6.17689390717536,5.58341203729784e-07,15.9134406004858,0.817707897237586,"Flight","Perch",NA
"7","Flight -> Roost","Flight","Roost",42.6380112106557,2180.29378754332,0.949943594170182,491.840614968632,3.23301809645954,6.2831852974721,4.23762396667918,4.10079645135495,0.4454935722228,"Flight","Roost",NA
"8","Nest -> Cruise","Nest","Cruise",107.018689956474,5006.03965226006,1.52343368029585,2007.79177208901,1.114129098019,4.18375511539723,0.190429558709247,27.210006472535,0.941411852567998,"Nest","Cruise",NA
"9","Nest -> Flight","Nest","Flight",61.3514466007119,7123.2889173471,0.955063587604104,1236.10340348496,6.28315179038056,6.28318529428378,5.30936037962474e-05,16.4582769977685,0.955897509439568,"Nest","Flight",NA
"10","Nest -> Perch","Nest","Perch",42.7200187265877,6633.73808647884,0.914077138320187,574.71788833837,3.06876520198971,6.09118629941878,0.100408401584197,99.9981978788059,0.979527624023802,"Nest","Perch",NA
"11","Nest -> Roost","Nest","Roost",57.2013985843004,1871.09646998758,1.00304433746453,405.453491495104,2.74260920465158,5.80018201488335,0.711147836743993,14.7387952768472,0.763526110763886,"Nest","Roost",NA
"12","Perch -> Cruise","Perch","Cruise",59.5063021872474,7250.87043050695,1.4670668852132,1813.24413481444,3.16486831061257,6.24551727309282,7.56794035903327,0.0274893014407327,0.199087513805315,"Perch","Cruise",NA
"13","Perch -> Flight","Perch","Flight",42.4499705535822,9393.48375204855,1.01922993445285,1110.82071406097,0.365041696509358,3.50813919381254,3.30725464886339,0.453027580609022,0.191160947419877,"Perch","Flight",NA
"14","Perch -> Perch","Perch","Perch",42.4499705535822,7110.35730466479,0.865665766853044,581.510580590773,3.12109530280707,6.2829617159413,30.491446384914,0.154151313724812,0.113328086092237,"Perch","Perch",0.259523809523809
"15","Perch -> Roost","Perch","Roost",42.7200187265877,3046.38572738253,0.959945873649438,358.831919190974,2.95963545325975,5.84385849925922,6.96078931405752,0.33214377413964,0.216181034672275,"Perch","Roost",NA
"16","Roost -> Flight","Roost","Flight",49.2442890089805,2748.26727230086,1.18771189818964,684.718298853471,1.76741535285429,4.57897514608148,36.0439471343648,0.754899788410087,0.118817901875294,"Roost","Flight",NA
"17","Roost -> Perch","Roost","Perch",44.9110231457712,3590.44286961929,0.9385457326185,625.207099217733,1.97862883247885,5.24777023236302,0.540646143908069,6.6355026108573,0.863362948402052,"Roost","Perch",NA
